     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      69.7180	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      56.0829	    % of Days
Mean Annual Water Delivery to LKNWR	      14.0619	          KAF
Mean Annual Hydropower Generated (MW)	   25991.6784	           MW
Boyle Mean Spill Volume per Year	     321.0458	          KAF
Copco1 Mean Spill Volume per Year	     351.3173	          KAF
Iron Gate Mean Spill Volume per Year	     685.8091	          KAF
Boyle Mean Spill Days per Year	     192.9000	         days
Copco1 Mean Spill Days per Year	      51.7000	         days
Iron Gate Mean Spill Days per Year	     135.7333	         days
Freq of UKL Flood Control Release	      41.9093	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     298.7926	          KAF
KenoReach Mean Ann Fishing Days	     239.0333	         days
BoyleReach Mean Ann Fishing Days	     144.3000	         days
HellsCornerReach Mean Ann Fishing Days	     249.3667	         days
IGScottReach Mean Ann Fishing Days	     274.9000	         days
ScottSalmonReach Mean Ann Fishing Days	     192.4000	         days
SalmonTrinityReach Mean Ann Fishing Days	     222.4333	         days
TrinityOceanReach Mean Ann Fishing Days	     255.8000	         days
KenoReach Mean Ann Boating Days	     183.4667	         days
BoyleReach Mean Ann Boating Days	      55.6333	         days
HellsCornerReach Mean Ann Boating Days	     199.3000	         days
IGScottReach Mean Ann Boating Days	     274.9000	         days
ScottSalmonReach Mean Ann Boating Days	     249.8667	         days
SalmonTrinityReach Mean Ann Boating Days	     222.4333	         days
TrinityOceanReach Mean Ann Boating Days	     255.8000	         days
Mean Project Supply (Apr-Sep)	     359.0016	          KAF
Mean Annual UKL Stg and Inflow	    1407.5970	          KAF
 Mean Annual Shasta Flow	     195.5116	          cfs
  Mean Annual Scott Flow	     738.8394	          cfs
        Mean Annual MWAT	      79.7917	         degF
Mean exceedence of MWAT - Poor	      16.1117	         degF
