Month	Day	DryYearTarget
1	1	135
1	2	135
1	3	135
1	4	135
1	5	135
1	6	135
1	7	135
1	8	135
1	9	135
1	10	135
1	11	135
1	12	135
1	13	135
1	14	135
1	15	135
1	16	135
1	17	135
1	18	135
1	19	135
1	20	135
1	21	135
1	22	135
1	23	135
1	24	135
1	25	135
1	26	135
1	27	135
1	28	135
1	29	135
1	30	135
1	31	135
2	1	135
2	2	135
2	3	135
2	4	135
2	5	135
2	6	135
2	7	135
2	8	135
2	9	135
2	10	135
2	11	135
2	12	135
2	13	135
2	14	135
2	15	135
2	16	135
2	17	135
2	18	135
2	19	135
2	20	135
2	21	135
2	22	135
2	23	135
2	24	135
2	25	135
2	26	135
2	27	135
2	28	135
2	29	135
3	1	135
3	2	135
3	3	135
3	4	135
3	5	135
3	6	135
3	7	135
3	8	135
3	9	135
3	10	135
3	11	135
3	12	135
3	13	135
3	14	135
3	15	135
3	16	135
3	17	135
3	18	135
3	19	135
3	20	135
3	21	135
3	22	135
3	23	135
3	24	135
3	25	135
3	26	135
3	27	135
3	28	135
3	29	135
3	30	135
3	31	135
4	1	170
4	2	170
4	3	170
4	4	170
4	5	170
4	6	170
4	7	170
4	8	170
4	9	170
4	10	170
4	11	170
4	12	170
4	13	170
4	14	170
4	15	170
4	16	170
4	17	170
4	18	170
4	19	170
4	20	170
4	21	170
4	22	170
4	23	170
4	24	170
4	25	170
4	26	170
4	27	170
4	28	170
4	29	170
4	30	170
5	1	170
5	2	170
5	3	170
5	4	170
5	5	170
5	6	170
5	7	170
5	8	170
5	9	170
5	10	170
5	11	170
5	12	170
5	13	170
5	14	170
5	15	170
5	16	150
5	17	150
5	18	150
5	19	150
5	20	150
5	21	150
5	22	150
5	23	150
5	24	150
5	25	150
5	26	150
5	27	150
5	28	150
5	29	150
5	30	150
5	31	150
6	1	150
6	2	150
6	3	150
6	4	150
6	5	150
6	6	150
6	7	150
6	8	150
6	9	150
6	10	150
6	11	150
6	12	150
6	13	150
6	14	150
6	15	150
6	16	70
6	17	70
6	18	70
6	19	70
6	20	70
6	21	70
6	22	70
6	23	70
6	24	70
6	25	70
6	26	70
6	27	70
6	28	70
6	29	70
6	30	70
7	1	50
7	2	50
7	3	50
7	4	50
7	5	50
7	6	50
7	7	50
7	8	50
7	9	50
7	10	50
7	11	50
7	12	50
7	13	50
7	14	50
7	15	50
7	16	50
7	17	50
7	18	50
7	19	50
7	20	50
7	21	50
7	22	50
7	23	50
7	24	50
7	25	50
7	26	50
7	27	50
7	28	50
7	29	50
7	30	50
7	31	50
8	1	50
8	2	50
8	3	50
8	4	50
8	5	50
8	6	50
8	7	50
8	8	50
8	9	50
8	10	50
8	11	50
8	12	50
8	13	50
8	14	50
8	15	50
8	16	50
8	17	50
8	18	50
8	19	50
8	20	50
8	21	50
8	22	50
8	23	50
8	24	50
8	25	50
8	26	50
8	27	50
8	28	50
8	29	50
8	30	50
8	31	50
9	1	50
9	2	50
9	3	50
9	4	50
9	5	50
9	6	50
9	7	50
9	8	50
9	9	50
9	10	50
9	11	50
9	12	50
9	13	50
9	14	50
9	15	50
9	16	52.67
9	17	55.33
9	18	58.00
9	19	60.67
9	20	63.33
9	21	66.00
9	22	68.67
9	23	71.33
9	24	74.00
9	25	76.67
9	26	79.33
9	27	82.00
9	28	84.67
9	29	87.33
9	30	90
10	1	125
10	2	125
10	3	125
10	4	125
10	5	125
10	6	125
10	7	125
10	8	125
10	9	125
10	10	125
10	11	125
10	12	125
10	13	125
10	14	125
10	15	125
10	16	125
10	17	126.67
10	18	128.33
10	19	130.00
10	20	131.67
10	21	133.33
10	22	135.00
10	23	136.67
10	24	138.33
10	25	140.00
10	26	141.67
10	27	143.33
10	28	145.00
10	29	146.67
10	30	148.33
10	31	150
11	1	150
11	2	150
11	3	150
11	4	150
11	5	150
11	6	150
11	7	150
11	8	150
11	9	150
11	10	150
11	11	150
11	12	150
11	13	150
11	14	150
11	15	150
11	16	150
11	17	150
11	18	150
11	19	150
11	20	150
11	21	150
11	22	150
11	23	150
11	24	150
11	25	150
11	26	150
11	27	150
11	28	150
11	29	150
11	30	150
12	1	150
12	2	150
12	3	150
12	4	150
12	5	150
12	6	150
12	7	150
12	8	150
12	9	150
12	10	150
12	11	150
12	12	150
12	13	150
12	14	150
12	15	150
12	16	150
12	17	150
12	18	150
12	19	150
12	20	150
12	21	150
12	22	150
12	23	150
12	24	150
12	25	150
12	26	150
12	27	150
12	28	150
12	29	150
12	30	150
12	31	150
