     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      58.2185	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      46.8833	    % of Days
Mean Annual Water Delivery to LKNWR	      10.9939	          KAF
Mean Annual Hydropower Generated (MW)	   22714.8808	           MW
Boyle Mean Spill Volume per Year	     251.7423	          KAF
Copco1 Mean Spill Volume per Year	     257.5221	          KAF
Iron Gate Mean Spill Volume per Year	     505.8834	          KAF
Boyle Mean Spill Days per Year	     176.4333	         days
Copco1 Mean Spill Days per Year	      38.0333	         days
Iron Gate Mean Spill Days per Year	     121.4000	         days
Freq of UKL Flood Control Release	      36.4790	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     249.4562	          KAF
KenoReach Mean Ann Fishing Days	     253.7667	         days
BoyleReach Mean Ann Fishing Days	     194.6667	         days
HellsCornerReach Mean Ann Fishing Days	     263.5000	         days
IGScottReach Mean Ann Fishing Days	     280.4000	         days
ScottSalmonReach Mean Ann Fishing Days	     211.2667	         days
SalmonTrinityReach Mean Ann Fishing Days	     246.1667	         days
TrinityOceanReach Mean Ann Fishing Days	     279.5000	         days
KenoReach Mean Ann Boating Days	     140.9333	         days
BoyleReach Mean Ann Boating Days	      44.8667	         days
HellsCornerReach Mean Ann Boating Days	     163.5667	         days
IGScottReach Mean Ann Boating Days	     280.4000	         days
ScottSalmonReach Mean Ann Boating Days	     257.7667	         days
SalmonTrinityReach Mean Ann Boating Days	     246.1667	         days
TrinityOceanReach Mean Ann Boating Days	     279.5000	         days
Mean Project Supply (Apr-Sep)	     321.1393	          KAF
Mean Annual UKL Stg and Inflow	    1214.6988	          KAF
 Mean Annual Shasta Flow	     164.3148	          cfs
  Mean Annual Scott Flow	     563.7812	          cfs
        Mean Annual MWAT	      83.1843	         degF
Mean exceedence of MWAT - Poor	      19.5043	         degF
