     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      70.9318	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      58.5288	    % of Days
Mean Annual Water Delivery to LKNWR	      12.5663	          KAF
Mean Annual Hydropower Generated (MW)	   26527.2620	           MW
Boyle Mean Spill Volume per Year	     413.7387	          KAF
Copco1 Mean Spill Volume per Year	     454.8438	          KAF
Iron Gate Mean Spill Volume per Year	     806.5499	          KAF
Boyle Mean Spill Days per Year	     217.4333	         days
Copco1 Mean Spill Days per Year	      59.2000	         days
Iron Gate Mean Spill Days per Year	     140.1667	         days
Freq of UKL Flood Control Release	      43.5977	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     378.9839	          KAF
KenoReach Mean Ann Fishing Days	     224.9333	         days
BoyleReach Mean Ann Fishing Days	     146.3667	         days
HellsCornerReach Mean Ann Fishing Days	     243.7000	         days
IGScottReach Mean Ann Fishing Days	     266.1000	         days
ScottSalmonReach Mean Ann Fishing Days	     183.8667	         days
SalmonTrinityReach Mean Ann Fishing Days	     211.4333	         days
TrinityOceanReach Mean Ann Fishing Days	     241.0333	         days
KenoReach Mean Ann Boating Days	     180.6000	         days
BoyleReach Mean Ann Boating Days	      54.7667	         days
HellsCornerReach Mean Ann Boating Days	     181.1333	         days
IGScottReach Mean Ann Boating Days	     266.1000	         days
ScottSalmonReach Mean Ann Boating Days	     236.0333	         days
SalmonTrinityReach Mean Ann Boating Days	     211.4333	         days
TrinityOceanReach Mean Ann Boating Days	     241.0333	         days
Mean Project Supply (Apr-Sep)	     365.0589	          KAF
Mean Annual UKL Stg and Inflow	    1467.6009	          KAF
 Mean Annual Shasta Flow	     206.1746	          cfs
  Mean Annual Scott Flow	     834.5261	          cfs
        Mean Annual MWAT	      80.1517	         degF
Mean exceedence of MWAT - Poor	      16.4717	         degF
