     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      70.5029	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      56.8769	    % of Days
Mean Annual Water Delivery to LKNWR	      24.6143	          KAF
Mean Annual Hydropower Generated (MW)	   26741.1142	           MW
Boyle Mean Spill Volume per Year	     163.0602	          KAF
Copco1 Mean Spill Volume per Year	     186.3791	          KAF
Iron Gate Mean Spill Volume per Year	     533.8601	          KAF
Boyle Mean Spill Days per Year	     105.9000	         days
Copco1 Mean Spill Days per Year	      42.8000	         days
Iron Gate Mean Spill Days per Year	     170.3333	         days
Freq of UKL Flood Control Release	      44.1179	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     224.4786	          KAF
KenoReach Mean Ann Fishing Days	     247.6667	         days
BoyleReach Mean Ann Fishing Days	     154.9000	         days
HellsCornerReach Mean Ann Fishing Days	     220.4333	         days
IGScottReach Mean Ann Fishing Days	     274.7333	         days
ScottSalmonReach Mean Ann Fishing Days	     183.9667	         days
SalmonTrinityReach Mean Ann Fishing Days	     213.9333	         days
TrinityOceanReach Mean Ann Fishing Days	     252.9333	         days
KenoReach Mean Ann Boating Days	     171.8000	         days
BoyleReach Mean Ann Boating Days	      59.0000	         days
HellsCornerReach Mean Ann Boating Days	     256.0000	         days
IGScottReach Mean Ann Boating Days	     274.7333	         days
ScottSalmonReach Mean Ann Boating Days	     249.2333	         days
SalmonTrinityReach Mean Ann Boating Days	     213.9333	         days
TrinityOceanReach Mean Ann Boating Days	     252.9333	         days
Mean Project Supply (Apr-Sep)	     361.3104	          KAF
Mean Annual UKL Stg and Inflow	    1377.9978	          KAF
 Mean Annual Shasta Flow	     187.6871	          cfs
  Mean Annual Scott Flow	     668.7854	          cfs
        Mean Annual MWAT	      75.7443	         degF
Mean exceedence of MWAT - Poor	      12.0643	         degF
