     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      63.9135	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      52.0672	    % of Days
Mean Annual Water Delivery to LKNWR	      12.4080	          KAF
Mean Annual Hydropower Generated (MW)	   24133.3771	           MW
Boyle Mean Spill Volume per Year	     207.0029	          KAF
Copco1 Mean Spill Volume per Year	     228.8718	          KAF
Iron Gate Mean Spill Volume per Year	     506.2900	          KAF
Boyle Mean Spill Days per Year	     163.9000	         days
Copco1 Mean Spill Days per Year	      41.7000	         days
Iron Gate Mean Spill Days per Year	     117.6667	         days
Freq of UKL Flood Control Release	      38.1674	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     242.9596	          KAF
KenoReach Mean Ann Fishing Days	     261.0000	         days
BoyleReach Mean Ann Fishing Days	     176.3333	         days
HellsCornerReach Mean Ann Fishing Days	     267.4000	         days
IGScottReach Mean Ann Fishing Days	     285.2333	         days
ScottSalmonReach Mean Ann Fishing Days	     211.1000	         days
SalmonTrinityReach Mean Ann Fishing Days	     243.4667	         days
TrinityOceanReach Mean Ann Fishing Days	     272.4667	         days
KenoReach Mean Ann Boating Days	     161.0667	         days
BoyleReach Mean Ann Boating Days	      47.5667	         days
HellsCornerReach Mean Ann Boating Days	     187.8667	         days
IGScottReach Mean Ann Boating Days	     285.2333	         days
ScottSalmonReach Mean Ann Boating Days	     262.3333	         days
SalmonTrinityReach Mean Ann Boating Days	     243.4667	         days
TrinityOceanReach Mean Ann Boating Days	     272.4667	         days
Mean Project Supply (Apr-Sep)	     339.0871	          KAF
Mean Annual UKL Stg and Inflow	    1275.3916	          KAF
 Mean Annual Shasta Flow	     172.4926	          cfs
  Mean Annual Scott Flow	     593.5264	          cfs
        Mean Annual MWAT	      80.4714	         degF
Mean exceedence of MWAT - Poor	      16.7914	         degF
