     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      73.9436	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      60.2355	    % of Days
Mean Annual Water Delivery to LKNWR	      19.3812	          KAF
Mean Annual Hydropower Generated (MW)	   27029.5437	           MW
Boyle Mean Spill Volume per Year	     319.4842	          KAF
Copco1 Mean Spill Volume per Year	     347.0357	          KAF
Iron Gate Mean Spill Volume per Year	     709.8225	          KAF
Boyle Mean Spill Days per Year	     187.8000	         days
Copco1 Mean Spill Days per Year	      55.5333	         days
Iron Gate Mean Spill Days per Year	     144.5333	         days
Freq of UKL Flood Control Release	      46.2170	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     334.2088	          KAF
KenoReach Mean Ann Fishing Days	     233.5667	         days
BoyleReach Mean Ann Fishing Days	     136.7333	         days
HellsCornerReach Mean Ann Fishing Days	     243.3000	         days
IGScottReach Mean Ann Fishing Days	     274.4000	         days
ScottSalmonReach Mean Ann Fishing Days	     179.1000	         days
SalmonTrinityReach Mean Ann Fishing Days	     206.3667	         days
TrinityOceanReach Mean Ann Fishing Days	     236.8000	         days
KenoReach Mean Ann Boating Days	     190.3333	         days
BoyleReach Mean Ann Boating Days	      57.4000	         days
HellsCornerReach Mean Ann Boating Days	     209.7667	         days
IGScottReach Mean Ann Boating Days	     274.4000	         days
ScottSalmonReach Mean Ann Boating Days	     233.6667	         days
SalmonTrinityReach Mean Ann Boating Days	     206.3667	         days
TrinityOceanReach Mean Ann Boating Days	     236.8000	         days
Mean Project Supply (Apr-Sep)	     371.4376	          KAF
Mean Annual UKL Stg and Inflow	    1463.9046	          KAF
 Mean Annual Shasta Flow	     212.2924	          cfs
  Mean Annual Scott Flow	     827.2676	          cfs
        Mean Annual MWAT	      78.9963	         degF
Mean exceedence of MWAT - Poor	      15.3163	         degF
