"measure","value","units","category","scenario","climset","period","strategy","value_hist","pctchange"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Baseline",70.5029,-1.6958167678209
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Baseline",56.8769,-2.92051782006403
"Mean Annual Water Delivery to LKNWR",17.1589,"KAF","Ecological Resources","CT","CMIP3",2030,"Baseline",24.6143,-30.2888971045287
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Baseline",26741.1142,-4.28518644148342
"Boyle Mean Spill Volume per Year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Baseline",163.0602,56.9245591505468
"Copco1 Mean Spill Volume per Year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Baseline",186.3791,54.5465129942145
"Iron Gate Mean Spill Volume per Year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Baseline",533.8601,14.9166232876366
"Boyle Mean Spill Days per Year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Baseline",105.9,66.5407932011331
"Copco1 Mean Spill Days per Year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Baseline",42.8,16.0436915887851
"Iron Gate Mean Spill Days per Year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Baseline",170.3333,-22.602744149265
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Baseline",44.1179,-0.682716085761112
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Baseline",224.4786,29.4589773813629
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",247.6667,1.68234163090961
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",154.9,0.989864428663652
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",220.4333,16.1953751996636
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",274.7333,2.03834045599861
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",183.9667,2.46419596590035
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",213.9333,3.34996935960881
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",252.9333,0.658948426324249
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",171.8,3.16257275902212
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",59,-11.5818644067797
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",256,-21.640625
