"measure","value","units","category","scenario","climset","period","strategy"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","CT","CMIP3",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","CT","CMIP3",2030,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","CT","CMIP3",2030,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","CT","CMIP3",2030,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","CT","CMIP3",2030,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","CT","CMIP3",2030,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","CT","CMIP3",2030,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","CT","CMIP3",2030,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","CT","CMIP3",2030,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","CT","CMIP3",2030,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","CT","CMIP3",2030,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","CT","CMIP3",2030,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","CT","CMIP3",2030,"Historical"
"KenoReach Mean Ann Boating Days",171.8,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"BoyleReach Mean Ann Boating Days",59,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"HellsCornerReach Mean Ann Boating Days",256,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"IGScottReach Mean Ann Boating Days",274.7333,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","CT","CMIP3",2030,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","CT","CMIP3",2030,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","CT","CMIP3",2030,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","CT","CMIP3",2030,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","CT","CMIP3",2030,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","CT","CMIP3",2030,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","CT","CMIP3",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Baseline"
"Mean Annual Water Delivery to LKNWR",17.1589,"KAF","Ecological Resources","CT","CMIP3",2030,"Baseline"
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Baseline"
"Boyle Mean Spill Volume per Year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Baseline"
"Copco1 Mean Spill Volume per Year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Baseline"
"Iron Gate Mean Spill Volume per Year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Baseline"
"Boyle Mean Spill Days per Year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Baseline"
"Copco1 Mean Spill Days per Year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Baseline"
"Iron Gate Mean Spill Days per Year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Baseline"
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Baseline"
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Baseline"
