"measure","scenario","period","climset","value","value_hist"
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP3",16.3383,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2030,"CMIP5",16.1491,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP3",17.8769,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2030,"CMIP5",19.3812,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP3",10.4733,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2030,"CMIP5",11.8981,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP3",12.5663,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2030,"CMIP5",13.3284,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP3",17.1589,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2030,"CMIP5",14.0619,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP3",12.408,24.6143
"Mean Annual Water Delivery to LKNWR","WD",2070,"CMIP5",15.9465,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP3",14.656,24.6143
"Mean Annual Water Delivery to LKNWR","WW",2070,"CMIP5",15.6696,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP3",8.2921,24.6143
"Mean Annual Water Delivery to LKNWR","HD",2070,"CMIP5",10.9939,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP3",14.6559,24.6143
"Mean Annual Water Delivery to LKNWR","HW",2070,"CMIP5",12.208,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP3",12.4664,24.6143
"Mean Annual Water Delivery to LKNWR","CT",2070,"CMIP5",14.0333,24.6143
