"measure","scenario","period","climset","strategy","value","value_hist"
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP3","Add 30KAF",65.8574,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP3","Baseline",65.8574,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP3","Reduce ET 30%",65.4194,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP3","Reduce ET 50%",65.0726,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP5","Add 30KAF",65.3737,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP5","Baseline",65.3737,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP5","Reduce ET 30%",64.5706,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2030,"CMIP5","Reduce ET 50%",64.023,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP3","Add 30KAF",73.9801,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP3","Baseline",73.9801,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP3","Reduce ET 30%",73.3595,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP3","Reduce ET 50%",72.9671,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP5","Add 30KAF",73.9436,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP5","Baseline",73.9436,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP5","Reduce ET 30%",73.6242,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2030,"CMIP5","Reduce ET 50%",73.0309,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP3","Add 30KAF",62.9826,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP3","Baseline",62.9826,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP3","Reduce ET 30%",62.362,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP3","Reduce ET 50%",61.3672,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP5","Add 30KAF",64.5523,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP5","Baseline",64.5523,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP5","Reduce ET 30%",63.9956,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2030,"CMIP5","Reduce ET 50%",63.083,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP3","Add 30KAF",70.9318,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP3","Baseline",70.9318,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP3","Reduce ET 30%",70.5394,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP3","Reduce ET 50%",69.5628,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP5","Add 30KAF",70.8406,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP5","Baseline",70.8406,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP5","Reduce ET 30%",70.4572,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2030,"CMIP5","Reduce ET 50%",69.7545,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP3","Add 30KAF",69.3073,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP3","Baseline",69.3073,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP3","Reduce ET 30%",68.6502,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP3","Reduce ET 50%",67.8653,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP5","Add 30KAF",69.718,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP5","Baseline",69.718,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP5","Reduce ET 30%",69.4624,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2030,"CMIP5","Reduce ET 50%",68.9148,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP3","Add 30KAF",63.9135,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP3","Baseline",63.9135,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP3","Reduce ET 30%",63.375,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP3","Reduce ET 50%",62.4167,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP5","Add 30KAF",66.834,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP5","Baseline",66.834,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP5","Reduce ET 30%",66.2773,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WD",2070,"CMIP5","Reduce ET 50%",65.7114,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP3","Add 30KAF",73.323,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP3","Baseline",73.323,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP3","Reduce ET 30%",72.7571,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP3","Reduce ET 50%",71.9175,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP5","Add 30KAF",76.1431,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP5","Baseline",76.1431,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP5","Reduce ET 30%",75.8967,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","WW",2070,"CMIP5","Reduce ET 50%",75.2943,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP3","Add 30KAF",58.5014,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP3","Baseline",58.5014,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP3","Reduce ET 30%",57.3606,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP3","Reduce ET 50%",56.2654,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP5","Add 30KAF",58.2185,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP5","Baseline",58.2185,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP5","Reduce ET 30%",57.1781,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HD",2070,"CMIP5","Reduce ET 50%",56.3658,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP3","Add 30KAF",69.4077,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP3","Baseline",69.4077,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP3","Reduce ET 30%",68.5589,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP3","Reduce ET 50%",67.6189,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP5","Add 30KAF",67.1899,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP5","Baseline",67.1899,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP5","Reduce ET 30%",65.5289,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","HW",2070,"CMIP5","Reduce ET 50%",64.1234,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP3","Add 30KAF",69.3894,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP3","Baseline",69.3894,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP3","Reduce ET 30%",68.7414,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP3","Reduce ET 50%",67.9201,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP5","Add 30KAF",69.7727,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP5","Baseline",69.7727,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP5","Reduce ET 30%",69.0609,70.5029
"Frequency Meeting Dry Year Fish Targets Scott","CT",2070,"CMIP5","Reduce ET 50%",68.0478,70.5029
