"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP3","Baseline",70.5029,4.9319957051412,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP3","Reduce ET 30%",70.5029,4.0517482259595,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP3","Reduce ET 50%",70.5029,3.49517537576469,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP3","Add 30KAF",70.5029,4.9319957051412,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP5","Baseline",70.5029,4.88022478507977,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP5","Reduce ET 30%",70.5029,4.42719377500784,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP5","Reduce ET 50%",70.5029,3.58566810726935,"3"
"Frequency Meeting Dry Year Fish Targets Scott","1",2030,"CMIP5","Add 30KAF",70.5029,4.88022478507977,"3"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP3","Baseline",70.5029,-6.58909066151889,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP3","Reduce ET 30%",70.5029,-7.21034170225622,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP3","Reduce ET 50%",70.5029,-7.70223636190852,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP3","Add 30KAF",70.5029,-6.58909066151889,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP5","Baseline",70.5029,-7.27516173093589,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP5","Reduce ET 30%",70.5029,-8.41426381042482,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP5","Reduce ET 50%",70.5029,-9.19096944948364,"2"
"Frequency Meeting Dry Year Fish Targets Scott","2",2030,"CMIP5","Add 30KAF",70.5029,-7.27516173093589,"2"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP3","Baseline",70.5029,0.608343770256257,"3"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP3","Reduce ET 30%",70.5029,0.0517709200614496,"3"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP3","Reduce ET 50%",70.5029,-1.33342032739079,"2"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP3","Add 30KAF",70.5029,0.608343770256257,"3"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP5","Baseline",70.5029,0.478987389171223,"3"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP5","Reduce ET 30%",70.5029,-0.0648200286796664,"2"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP5","Reduce ET 50%",70.5029,-1.06151661846535,"2"
"Frequency Meeting Dry Year Fish Targets Scott","3",2030,"CMIP5","Add 30KAF",70.5029,0.478987389171223,"3"
"Frequency Meeting Dry Year Fish Targets Scott","4",2030,"CMIP3","Baseline",70.5029,-10.6666534284405,"2"
