"measure","scenario","period","climset","strategy","value","value_hist"
"Freq of UKL Flood Control Release","WD",2030,"CMIP3","Add 30KAF",42.5116,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP3","Baseline",41.453,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP3","Reduce ET 30%",40.6681,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP3","Reduce ET 50%",40.0383,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP5","Add 30KAF",40.7867,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP5","Baseline",40.1844,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP5","Reduce ET 30%",38.9979,44.1179
"Freq of UKL Flood Control Release","WD",2030,"CMIP5","Reduce ET 50%",38.4412,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP3","Add 30KAF",46.6369,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP3","Baseline",45.5508,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP3","Reduce ET 30%",44.4556,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP3","Reduce ET 50%",44.6473,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP5","Add 30KAF",46.9563,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP5","Baseline",46.217,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP5","Reduce ET 30%",45.1675,44.1179
"Freq of UKL Flood Control Release","WW",2030,"CMIP5","Reduce ET 50%",45.1218,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP3","Add 30KAF",38.5781,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP3","Baseline",37.8845,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP3","Reduce ET 30%",36.9901,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP3","Reduce ET 50%",36.5246,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP5","Add 30KAF",39.801,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP5","Baseline",38.213,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP5","Reduce ET 30%",37.3734,44.1179
"Freq of UKL Flood Control Release","HD",2030,"CMIP5","Reduce ET 50%",37.6198,44.1179
"Freq of UKL Flood Control Release","HW",2030,"CMIP3","Add 30KAF",44.3278,44.1179
"Freq of UKL Flood Control Release","HW",2030,"CMIP3","Baseline",43.5977,44.1179
