"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Freq of UKL Flood Control Release","1",2030,"CMIP3","Baseline",44.1179,3.24788804544188,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP3","Reduce ET 30%",44.1179,0.765448944759379,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP3","Reduce ET 50%",44.1179,1.19996645352567,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP3","Add 30KAF",44.1179,5.70970059771657,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP5","Baseline",44.1179,4.75793272118573,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP5","Reduce ET 30%",44.1179,2.37907969327642,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP5","Reduce ET 50%",44.1179,2.27549362050325,"3"
"Freq of UKL Flood Control Release","1",2030,"CMIP5","Add 30KAF",44.1179,6.43366978029326,"3"
"Freq of UKL Flood Control Release","2",2030,"CMIP3","Baseline",44.1179,-6.04040536834255,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP3","Reduce ET 30%",44.1179,-7.81950183485614,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP3","Reduce ET 50%",44.1179,-9.24704031696885,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP3","Add 30KAF",44.1179,-3.64092579202545,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP5","Baseline",44.1179,-8.91588221560864,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP5","Reduce ET 30%",44.1179,-11.6052667964704,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP5","Reduce ET 50%",44.1179,-12.8671128952194,"2"
"Freq of UKL Flood Control Release","2",2030,"CMIP5","Add 30KAF",44.1179,-7.55067670945352,"2"
"Freq of UKL Flood Control Release","3",2030,"CMIP3","Baseline",44.1179,-1.17911323975075,"2"
"Freq of UKL Flood Control Release","3",2030,"CMIP3","Reduce ET 30%",44.1179,-3.90975091742807,"2"
"Freq of UKL Flood Control Release","3",2030,"CMIP3","Reduce ET 50%",44.1179,-3.97185722801856,"2"
"Freq of UKL Flood Control Release","3",2030,"CMIP3","Add 30KAF",44.1179,0.475770605581872,"3"
"Freq of UKL Flood Control Release","3",2030,"CMIP5","Baseline",44.1179,0,"3"
"Freq of UKL Flood Control Release","3",2030,"CMIP5","Reduce ET 30%",44.1179,-0.393037746583588,"2"
"Freq of UKL Flood Control Release","3",2030,"CMIP5","Reduce ET 50%",44.1179,-1.11700692916026,"2"
"Freq of UKL Flood Control Release","3",2030,"CMIP5","Add 30KAF",44.1179,1.84120277710408,"3"
"Freq of UKL Flood Control Release","4",2030,"CMIP3","Baseline",44.1179,-14.1289589939684,"2"
"Freq of UKL Flood Control Release","4",2030,"CMIP3","Reduce ET 30%",44.1179,-16.1562540374769,"2"
"Freq of UKL Flood Control Release","4",2030,"CMIP3","Reduce ET 50%",44.1179,-17.2113813214138,"2"
"Freq of UKL Flood Control Release","4",2030,"CMIP3","Add 30KAF",44.1179,-12.5568080076341,"2"
