"measure","scenario","period","climset","value","value_hist"
"Mean Annual Hydropower Generated (MW)","WD",2030,"CMIP3",25394.6459,26741.1142
"Mean Annual Hydropower Generated (MW)","WD",2030,"CMIP5",24900.6662,26741.1142
"Mean Annual Hydropower Generated (MW)","WW",2030,"CMIP3",27715.0688,26741.1142
"Mean Annual Hydropower Generated (MW)","WW",2030,"CMIP5",27029.5437,26741.1142
"Mean Annual Hydropower Generated (MW)","HD",2030,"CMIP3",23371.6167,26741.1142
"Mean Annual Hydropower Generated (MW)","HD",2030,"CMIP5",23340.3422,26741.1142
"Mean Annual Hydropower Generated (MW)","HW",2030,"CMIP3",26527.262,26741.1142
"Mean Annual Hydropower Generated (MW)","HW",2030,"CMIP5",26524.9381,26741.1142
"Mean Annual Hydropower Generated (MW)","CT",2030,"CMIP3",25595.2076,26741.1142
"Mean Annual Hydropower Generated (MW)","CT",2030,"CMIP5",25991.6784,26741.1142
"Mean Annual Hydropower Generated (MW)","WD",2070,"CMIP3",24133.3771,26741.1142
"Mean Annual Hydropower Generated (MW)","WD",2070,"CMIP5",24451.3807,26741.1142
"Mean Annual Hydropower Generated (MW)","WW",2070,"CMIP3",27828.3906,26741.1142
"Mean Annual Hydropower Generated (MW)","WW",2070,"CMIP5",27374.5849,26741.1142
"Mean Annual Hydropower Generated (MW)","HD",2070,"CMIP3",22661.943,26741.1142
"Mean Annual Hydropower Generated (MW)","HD",2070,"CMIP5",22714.8808,26741.1142
"Mean Annual Hydropower Generated (MW)","HW",2070,"CMIP3",26511.3132,26741.1142
"Mean Annual Hydropower Generated (MW)","HW",2070,"CMIP5",26283.7877,26741.1142
"Mean Annual Hydropower Generated (MW)","CT",2070,"CMIP3",25923.4083,26741.1142
"Mean Annual Hydropower Generated (MW)","CT",2070,"CMIP5",25147.6534,26741.1142
