"measure","scenario","period","climset","strategy","value","value_hist"
"Boyle Mean Spill Days per Year","WD",2030,"CMIP3","Add 30KAF",156.4,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP3","Baseline",155.3,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP3","Reduce ET 30%",155.3,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP3","Reduce ET 50%",155.5333,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP5","Add 30KAF",145.8,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP5","Baseline",144.4667,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP5","Reduce ET 30%",144.6333,105.9
"Boyle Mean Spill Days per Year","WD",2030,"CMIP5","Reduce ET 50%",144.8667,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP3","Add 30KAF",196.2667,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP3","Baseline",195.7,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP3","Reduce ET 30%",195.7,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP3","Reduce ET 50%",195.7667,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP5","Add 30KAF",189.2333,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP5","Baseline",187.8,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP5","Reduce ET 30%",188,105.9
"Boyle Mean Spill Days per Year","WW",2030,"CMIP5","Reduce ET 50%",188.0333,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP3","Add 30KAF",152.6667,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP3","Baseline",151.3667,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP3","Reduce ET 30%",151.6333,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP3","Reduce ET 50%",151.6667,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP5","Add 30KAF",158,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP5","Baseline",156.8,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP5","Reduce ET 30%",157,105.9
"Boyle Mean Spill Days per Year","HD",2030,"CMIP5","Reduce ET 50%",157.1,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP3","Add 30KAF",218.2333,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP3","Baseline",217.4333,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP3","Reduce ET 30%",217.4667,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP3","Reduce ET 50%",217.6,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP5","Add 30KAF",223.4333,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP5","Baseline",222.6333,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP5","Reduce ET 30%",222.8333,105.9
"Boyle Mean Spill Days per Year","HW",2030,"CMIP5","Reduce ET 50%",222.9333,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP3","Add 30KAF",177.3333,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP3","Baseline",176.3667,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP3","Reduce ET 30%",176.4333,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP3","Reduce ET 50%",176.5333,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP5","Add 30KAF",194.2,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP5","Baseline",192.9,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP5","Reduce ET 30%",193.3,105.9
"Boyle Mean Spill Days per Year","CT",2030,"CMIP5","Reduce ET 50%",193.7,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP3","Add 30KAF",165.5,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP3","Baseline",163.9,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP3","Reduce ET 30%",164.1333,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP3","Reduce ET 50%",164.4,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP5","Add 30KAF",169,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP5","Baseline",167.4,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP5","Reduce ET 30%",167.6667,105.9
"Boyle Mean Spill Days per Year","WD",2070,"CMIP5","Reduce ET 50%",168.0333,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP3","Add 30KAF",237.3667,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP3","Baseline",236.6667,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP3","Reduce ET 30%",236.6667,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP3","Reduce ET 50%",236.6667,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP5","Add 30KAF",230.8333,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP5","Baseline",230.1333,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP5","Reduce ET 30%",230.2667,105.9
"Boyle Mean Spill Days per Year","WW",2070,"CMIP5","Reduce ET 50%",230.2667,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP3","Add 30KAF",158.1,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP3","Baseline",156.5667,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP3","Reduce ET 30%",157.9,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP3","Reduce ET 50%",158.0667,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP5","Add 30KAF",177.9333,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP5","Baseline",176.4333,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP5","Reduce ET 30%",177.7,105.9
"Boyle Mean Spill Days per Year","HD",2070,"CMIP5","Reduce ET 50%",178.1,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP3","Add 30KAF",239.8667,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP3","Baseline",238.7,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP3","Reduce ET 30%",239.3333,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP3","Reduce ET 50%",239.6667,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP5","Add 30KAF",254.6,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP5","Baseline",253.1,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP5","Reduce ET 30%",253.6667,105.9
"Boyle Mean Spill Days per Year","HW",2070,"CMIP5","Reduce ET 50%",253.9333,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP3","Add 30KAF",207.3667,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP3","Baseline",205.9667,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP3","Reduce ET 30%",206.5667,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP3","Reduce ET 50%",206.6667,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP5","Add 30KAF",205.0667,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP5","Baseline",203.5333,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP5","Reduce ET 30%",203.8667,105.9
"Boyle Mean Spill Days per Year","CT",2070,"CMIP5","Reduce ET 50%",204.3667,105.9
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP3","Add 30KAF",204.5044,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP3","Baseline",196.0889,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP3","Reduce ET 30%",196.4472,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP3","Reduce ET 50%",195.8523,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP5","Add 30KAF",183.4605,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP5","Baseline",175.9983,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP5","Reduce ET 30%",176.3519,163.0602
"Boyle Mean Spill Volume per Year","WD",2030,"CMIP5","Reduce ET 50%",176.9633,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP3","Add 30KAF",323.6345,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP3","Baseline",314.4029,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP3","Reduce ET 30%",315.5551,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP3","Reduce ET 50%",316.6878,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP5","Add 30KAF",329.3524,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP5","Baseline",319.4842,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP5","Reduce ET 30%",320.0068,163.0602
"Boyle Mean Spill Volume per Year","WW",2030,"CMIP5","Reduce ET 50%",320.6619,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP3","Add 30KAF",201.7553,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP3","Baseline",194.6359,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP3","Reduce ET 30%",195.1007,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP3","Reduce ET 50%",195.2558,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP5","Add 30KAF",190.2479,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP5","Baseline",183.0942,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP5","Reduce ET 30%",184.1748,163.0602
"Boyle Mean Spill Volume per Year","HD",2030,"CMIP5","Reduce ET 50%",184.7881,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP3","Add 30KAF",425.2957,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP3","Baseline",413.7387,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP3","Reduce ET 30%",415.6124,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP3","Reduce ET 50%",417.1299,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP5","Add 30KAF",405.2618,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP5","Baseline",393.6513,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP5","Reduce ET 30%",395.6587,163.0602
"Boyle Mean Spill Volume per Year","HW",2030,"CMIP5","Reduce ET 50%",396.9052,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP3","Add 30KAF",264.2508,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP3","Baseline",255.8815,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP3","Reduce ET 30%",256.5593,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP3","Reduce ET 50%",257.1903,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP5","Add 30KAF",330.6893,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP5","Baseline",321.0458,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP5","Reduce ET 30%",322.3668,163.0602
"Boyle Mean Spill Volume per Year","CT",2030,"CMIP5","Reduce ET 50%",323.3242,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP3","Add 30KAF",214.8546,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP3","Baseline",207.0029,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP3","Reduce ET 30%",207.9,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP3","Reduce ET 50%",208.6518,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP5","Add 30KAF",226.813,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP5","Baseline",218.8711,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP5","Reduce ET 30%",220.4421,163.0602
"Boyle Mean Spill Volume per Year","WD",2070,"CMIP5","Reduce ET 50%",221.383,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP3","Add 30KAF",505.2351,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP3","Baseline",493.4879,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP3","Reduce ET 30%",496.902,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP3","Reduce ET 50%",498.9992,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP5","Add 30KAF",408.156,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP5","Baseline",398.7803,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP5","Reduce ET 30%",401.1018,163.0602
"Boyle Mean Spill Volume per Year","WW",2070,"CMIP5","Reduce ET 50%",402.6087,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP3","Add 30KAF",224.9596,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP3","Baseline",216.5871,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP3","Reduce ET 30%",218.7361,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP3","Reduce ET 50%",220.1271,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP5","Add 30KAF",260.5252,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP5","Baseline",251.7423,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP5","Reduce ET 30%",255.7227,163.0602
"Boyle Mean Spill Volume per Year","HD",2070,"CMIP5","Reduce ET 50%",257.7732,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP3","Add 30KAF",555.771,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP3","Baseline",544.1491,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP3","Reduce ET 30%",546.967,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP3","Reduce ET 50%",549.5237,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP5","Add 30KAF",593.6788,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP5","Baseline",582.7187,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP5","Reduce ET 30%",587.5005,163.0602
"Boyle Mean Spill Volume per Year","HW",2070,"CMIP5","Reduce ET 50%",590.2315,163.0602
