"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Boyle Mean Spill Days per Year","1",2070,"CMIP3","Baseline",105.9,123.481303116147,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP3","Reduce ET 30%",105.9,123.481303116147,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP3","Reduce ET 50%",105.9,123.481303116147,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP3","Add 30KAF",105.9,124.142304060434,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP5","Baseline",105.9,117.311898016997,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP5","Reduce ET 30%",105.9,117.437865911237,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP5","Reduce ET 50%",105.9,117.437865911237,"3"
"Boyle Mean Spill Days per Year","1",2070,"CMIP5","Add 30KAF",105.9,117.972898961284,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP3","Baseline",105.9,54.7686496694995,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP3","Reduce ET 30%",105.9,54.9889518413598,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP3","Reduce ET 50%",105.9,55.2407932011331,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP3","Add 30KAF",105.9,56.2795089707271,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP5","Baseline",105.9,58.0736543909348,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP5","Reduce ET 30%",105.9,58.3254957507082,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP5","Reduce ET 50%",105.9,58.671671388102,"3"
"Boyle Mean Spill Days per Year","2",2070,"CMIP5","Add 30KAF",105.9,59.5845136921624,"3"
"Boyle Mean Spill Days per Year","3",2070,"CMIP3","Baseline",105.9,125.401322001889,"3"
"Boyle Mean Spill Days per Year","3",2070,"CMIP3","Reduce ET 30%",105.9,125.999338999056,"3"
"Boyle Mean Spill Days per Year","3",2070,"CMIP3","Reduce ET 50%",105.9,126.314164305949,"3"
"Boyle Mean Spill Days per Year","3",2070,"CMIP3","Add 30KAF",105.9,126.503021718602,"3"
"Boyle Mean Spill Days per Year","3",2070,"CMIP5","Baseline",105.9,138.999055712937,"4"
"Boyle Mean Spill Days per Year","3",2070,"CMIP5","Reduce ET 30%",105.9,139.53418319169,"4"
"Boyle Mean Spill Days per Year","3",2070,"CMIP5","Reduce ET 50%",105.9,139.785930122757,"4"
"Boyle Mean Spill Days per Year","3",2070,"CMIP5","Add 30KAF",105.9,140.415486307838,"4"
"Boyle Mean Spill Days per Year","4",2070,"CMIP3","Baseline",105.9,47.8439093484419,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP3","Reduce ET 30%",105.9,49.1029272898961,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP3","Reduce ET 50%",105.9,49.2603399433428,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP3","Add 30KAF",105.9,49.2917847025496,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP5","Baseline",105.9,66.6036827195467,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP5","Reduce ET 30%",105.9,67.7998111425873,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP5","Reduce ET 50%",105.9,68.1775259678942,"3"
"Boyle Mean Spill Days per Year","4",2070,"CMIP5","Add 30KAF",105.9,68.0201133144476,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP3","Baseline",105.9,94.4916902738432,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP3","Reduce ET 30%",105.9,95.0582625118036,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP3","Reduce ET 50%",105.9,95.1526912181303,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP3","Add 30KAF",105.9,95.8136921624174,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP5","Baseline",105.9,92.1938621340887,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP5","Reduce ET 30%",105.9,92.5086874409821,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP5","Reduce ET 50%",105.9,92.9808309726157,"3"
"Boyle Mean Spill Days per Year","5",2070,"CMIP5","Add 30KAF",105.9,93.6418319169027,"3"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP3","Baseline",163.0602,202.64153975035,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP3","Reduce ET 30%",163.0602,204.735306346981,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP3","Reduce ET 50%",163.0602,206.021457106026,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP3","Add 30KAF",163.0602,209.845750219857,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP5","Baseline",163.0602,144.560168575778,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP5","Reduce ET 30%",163.0602,145.983875893688,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP5","Reduce ET 50%",163.0602,146.908013114175,"4"
"Boyle Mean Spill Volume per Year","1",2070,"CMIP5","Add 30KAF",163.0602,150.310008205558,"4"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP3","Baseline",163.0602,26.9487588019639,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP3","Reduce ET 30%",163.0602,27.4989237103843,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP3","Reduce ET 50%",163.0602,27.9599804244077,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP3","Add 30KAF",163.0602,31.7639742867971,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP5","Baseline",163.0602,34.2271749942659,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP5","Reduce ET 30%",163.0602,35.1906228497205,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP5","Reduce ET 50%",163.0602,35.7676490032516,"3"
"Boyle Mean Spill Volume per Year","2",2070,"CMIP5","Add 30KAF",163.0602,39.0977074724549,"3"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP3","Baseline",163.0602,233.710555978712,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP3","Reduce ET 30%",163.0602,235.438690741211,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP3","Reduce ET 50%",163.0602,237.006639265744,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP3","Add 30KAF",163.0602,240.837923662549,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Baseline",163.0602,257.364151399299,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 30%",163.0602,260.296687971682,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 50%",163.0602,261.971529533264,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Add 30KAF",163.0602,264.085656708381,"4"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Baseline",163.0602,32.826465317717,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 30%",163.0602,34.1443834853631,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 50%",163.0602,34.9974426622806,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Add 30KAF",163.0602,37.9610720457843,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Baseline",163.0602,54.3861101605419,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 30%",163.0602,56.8271718052596,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 50%",163.0602,58.0846828349284,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Add 30KAF",163.0602,59.7724030756739,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP3","Baseline",163.0602,131.861177650953,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 30%",163.0602,133.378960653795,"4"
