"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Baseline",70.5029,-1.1956
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Baseline",56.8769,-1.6611
"Mean Annual Water Delivery to LKNWR",17.1589,"KAF","Ecological Resources","CT","CMIP3",2030,"Baseline",24.6143,-7.4554
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Baseline",26741.1142,-1145.9066
"Boyle Mean Spill Volume per Year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Baseline",163.0602,92.8213
"Copco1 Mean Spill Volume per Year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Baseline",186.3791,101.6633
"Iron Gate Mean Spill Volume per Year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Baseline",533.8601,79.6339
"Boyle Mean Spill Days per Year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Baseline",105.9,70.4667
"Copco1 Mean Spill Days per Year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Baseline",42.8,6.8667
"Iron Gate Mean Spill Days per Year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Baseline",170.3333,-38.5
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Baseline",44.1179,-0.301200000000001
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Baseline",224.4786,66.1291
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",247.6667,4.16660000000002
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",154.9,1.5333
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",220.4333,35.7
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",274.7333,5.60000000000002
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",183.9667,4.5333
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",213.9333,7.16669999999999
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline",252.9333,1.66669999999999
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",171.8,5.4333
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",59,-6.8333
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",256,-55.4
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",274.7333,5.60000000000002
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",249.2333,-0.266600000000011
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",213.9333,7.16669999999999
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline",252.9333,1.66669999999999
"Mean Project Supply (Apr-Sep)",357.9902,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline",361.3104,-3.3202
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline",1377.9978,-5.85260000000017
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline",187.6871,1.2741
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline",668.7854,43.3611
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Baseline",75.7443,4.1288
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Baseline",12.0643,4.1288
"Frequency Meeting Dry Year Fish Targets Scott",68.6502,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 30%",70.5029,-1.8527
"Frequency Meeting Dry Year Fish Targets Shasta",54.9329,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 30%",56.8769,-1.944
"Mean Annual Water Delivery to LKNWR",18.3424,"KAF","Ecological Resources","CT","CMIP3",2030,"Reduce ET 30%",24.6143,-6.2719
"Mean Annual Hydropower Generated (MW)",25714.7781,"MW","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",26741.1142,-1026.3361
"Boyle Mean Spill Volume per Year",256.5593,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",163.0602,93.4991
"Copco1 Mean Spill Volume per Year",288.935,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",186.3791,102.5559
"Iron Gate Mean Spill Volume per Year",616.4567,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",533.8601,82.5966
"Boyle Mean Spill Days per Year",176.4333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",105.9,70.5333
"Copco1 Mean Spill Days per Year",49.9333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",42.8,7.13330000000001
"Iron Gate Mean Spill Days per Year",133.5,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 30%",170.3333,-36.8333
"Freq of UKL Flood Control Release",42.3017,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce ET 30%",44.1179,-1.8162
"Mean Ann UKL Flood Control Release Volume",291.2457,"KAF","Flood Control","CT","CMIP3",2030,"Reduce ET 30%",224.4786,66.7671
"KenoReach Mean Ann Fishing Days",251.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",247.6667,3.4666
"BoyleReach Mean Ann Fishing Days",154.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",154.9,-0.0666999999999973
"HellsCornerReach Mean Ann Fishing Days",254.6667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",220.4333,34.2334
"IGScottReach Mean Ann Fishing Days",280.2667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",274.7333,5.53340000000003
"ScottSalmonReach Mean Ann Fishing Days",188.4,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",183.9667,4.4333
"SalmonTrinityReach Mean Ann Fishing Days",221.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",213.9333,7.13339999999999
"TrinityOceanReach Mean Ann Fishing Days",254.4667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 30%",252.9333,1.5334
"KenoReach Mean Ann Boating Days",179.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",171.8,7.79999999999998
"BoyleReach Mean Ann Boating Days",52.7333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",59,-6.2667
"HellsCornerReach Mean Ann Boating Days",202.3,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",256,-53.7
"IGScottReach Mean Ann Boating Days",280.2667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",274.7333,5.53340000000003
"ScottSalmonReach Mean Ann Boating Days",248.7333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",249.2333,-0.5
"SalmonTrinityReach Mean Ann Boating Days",221.0667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",213.9333,7.13339999999999
"TrinityOceanReach Mean Ann Boating Days",254.4667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce ET 30%",252.9333,1.5334
"Mean Project Supply (Apr-Sep)",358.4929,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",361.3104,-2.8175
"Mean Annual UKL Stg and Inflow",1377.0365,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",1377.9978,-0.961300000000165
"Mean Annual Shasta Flow",190.2655,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",187.6871,2.57840000000002
"Mean Annual Scott Flow",713.5683,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce ET 30%",668.7854,44.7829
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 30%",75.7443,4.1288
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Reduce ET 30%",12.0643,4.1288
"Frequency Meeting Dry Year Fish Targets Scott",67.8653,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 50%",70.5029,-2.63759999999999
"Frequency Meeting Dry Year Fish Targets Shasta",54.3488,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce ET 50%",56.8769,-2.5281
"Mean Annual Water Delivery to LKNWR",19.5419,"KAF","Ecological Resources","CT","CMIP3",2030,"Reduce ET 50%",24.6143,-5.0724
"Mean Annual Hydropower Generated (MW)",25782.5856,"MW","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",26741.1142,-958.528600000001
"Boyle Mean Spill Volume per Year",257.1903,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",163.0602,94.1301
"Copco1 Mean Spill Volume per Year",289.7193,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",186.3791,103.3402
"Iron Gate Mean Spill Volume per Year",618.456,"KAF","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",533.8601,84.5959
"Boyle Mean Spill Days per Year",176.5333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",105.9,70.6333
"Copco1 Mean Spill Days per Year",50.1667,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",42.8,7.3667
"Iron Gate Mean Spill Days per Year",133.9333,"days","Hydropower","CT","CMIP3",2030,"Reduce ET 50%",170.3333,-36.4
"Freq of UKL Flood Control Release",41.9914,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce ET 50%",44.1179,-2.1265
"Mean Ann UKL Flood Control Release Volume",291.6687,"KAF","Flood Control","CT","CMIP3",2030,"Reduce ET 50%",224.4786,67.1901
"KenoReach Mean Ann Fishing Days",250.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",247.6667,2.83330000000001
"BoyleReach Mean Ann Fishing Days",153.2,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",154.9,-1.70000000000002
"HellsCornerReach Mean Ann Fishing Days",253.9333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce ET 50%",220.4333,33.5
