"measure","scenario","period","climset","strategy","value","value_hist"
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP3","Add 30KAF",55.8667,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP3","Baseline",52.6,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 30%",52.5667,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 50%",52.3,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP5","Add 30KAF",56.2333,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP5","Baseline",52.5333,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 30%",54.1333,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 50%",54.3,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP3","Add 30KAF",67.4667,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP3","Baseline",67.4,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 30%",67.7,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 50%",69.5333,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP5","Add 30KAF",57.4333,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP5","Baseline",57.4,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 30%",57.9,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 50%",58.0667,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP3","Add 30KAF",43.7,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP3","Baseline",41.9667,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 30%",41.8333,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP3","Reduce ET 50%",42.7333,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP5","Add 30KAF",47.6333,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP5","Baseline",46.6,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP5","Reduce ET 30%",47.0333,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP5","Reduce ET 50%",47.4333,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP3","Add 30KAF",54.6333,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP3","Baseline",54.7667,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP3","Reduce ET 30%",54.4,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP3","Reduce ET 50%",54.8333,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP5","Add 30KAF",53.9,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP5","Baseline",52.9,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP5","Reduce ET 30%",53.7,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP5","Reduce ET 50%",53.6667,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP3","Add 30KAF",53.3,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP3","Baseline",52.1667,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP3","Reduce ET 30%",52.7333,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP3","Reduce ET 50%",52.9333,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP5","Add 30KAF",57.9333,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP5","Baseline",55.6333,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP5","Reduce ET 30%",57.2667,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP5","Reduce ET 50%",57.9333,59
"BoyleReach Mean Ann Boating Days","WD",2070,"CMIP3","Add 30KAF",48.8667,59
"BoyleReach Mean Ann Boating Days","WD",2070,"CMIP3","Baseline",47.5667,59
"BoyleReach Mean Ann Boating Days","WD",2070,"CMIP3","Reduce ET 30%",47.3,59
