"measure","scenario","period","climset","value","value_hist"
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP3",52.6,59
"BoyleReach Mean Ann Boating Days","WD",2030,"CMIP5",52.5333,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP3",67.4,59
"BoyleReach Mean Ann Boating Days","WW",2030,"CMIP5",57.4,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP3",41.9667,59
"BoyleReach Mean Ann Boating Days","HD",2030,"CMIP5",46.6,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP3",54.7667,59
"BoyleReach Mean Ann Boating Days","HW",2030,"CMIP5",52.9,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP3",52.1667,59
"BoyleReach Mean Ann Boating Days","CT",2030,"CMIP5",55.6333,59
"BoyleReach Mean Ann Boating Days","WD",2070,"CMIP3",47.5667,59
"BoyleReach Mean Ann Boating Days","WD",2070,"CMIP5",51.4,59
"BoyleReach Mean Ann Boating Days","WW",2070,"CMIP3",59.8333,59
"BoyleReach Mean Ann Boating Days","WW",2070,"CMIP5",61.8667,59
"BoyleReach Mean Ann Boating Days","HD",2070,"CMIP3",51,59
"BoyleReach Mean Ann Boating Days","HD",2070,"CMIP5",44.8667,59
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP3",53.6,59
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP5",50.7333,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP3",50.8,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP5",51.3667,59
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP3",210.9667,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP5",209.3333,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP3",224.4667,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP5",209.7667,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP3",179.6,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP5",180.8667,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP3",181.1333,256
"HellsCornerReach Mean Ann Boating Days","HW",2030,"CMIP5",181.1,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP3",200.6,256
"HellsCornerReach Mean Ann Boating Days","CT",2030,"CMIP5",199.3,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP3",187.8667,256
"HellsCornerReach Mean Ann Boating Days","WD",2070,"CMIP5",188.5333,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP3",193.4667,256
"HellsCornerReach Mean Ann Boating Days","WW",2070,"CMIP5",204.3333,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP3",168.1,256
"HellsCornerReach Mean Ann Boating Days","HD",2070,"CMIP5",163.5667,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP3",169,256
"HellsCornerReach Mean Ann Boating Days","HW",2070,"CMIP5",165.5333,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP3",176.9,256
"HellsCornerReach Mean Ann Boating Days","CT",2070,"CMIP5",173.3,256
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP3",281.9667,274.7333
"IGScottReach Mean Ann Boating Days","WD",2030,"CMIP5",277.5333,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP3",268.6667,274.7333
"IGScottReach Mean Ann Boating Days","WW",2030,"CMIP5",274.4,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP3",285.1667,274.7333
"IGScottReach Mean Ann Boating Days","HD",2030,"CMIP5",287.5333,274.7333
"IGScottReach Mean Ann Boating Days","HW",2030,"CMIP3",266.1,274.7333
"IGScottReach Mean Ann Boating Days","HW",2030,"CMIP5",270.2,274.7333
"IGScottReach Mean Ann Boating Days","CT",2030,"CMIP3",280.3333,274.7333
"IGScottReach Mean Ann Boating Days","CT",2030,"CMIP5",274.9,274.7333
"IGScottReach Mean Ann Boating Days","WD",2070,"CMIP3",285.2333,274.7333
"IGScottReach Mean Ann Boating Days","WD",2070,"CMIP5",284.2667,274.7333
"IGScottReach Mean Ann Boating Days","WW",2070,"CMIP3",262.8667,274.7333
"IGScottReach Mean Ann Boating Days","WW",2070,"CMIP5",269.2,274.7333
"IGScottReach Mean Ann Boating Days","HD",2070,"CMIP3",285.0333,274.7333
"IGScottReach Mean Ann Boating Days","HD",2070,"CMIP5",280.4,274.7333
"IGScottReach Mean Ann Boating Days","HW",2070,"CMIP3",261.2333,274.7333
"IGScottReach Mean Ann Boating Days","HW",2070,"CMIP5",247.0667,274.7333
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP3",271.4,274.7333
"IGScottReach Mean Ann Boating Days","CT",2070,"CMIP5",276.7333,274.7333
"KenoReach Mean Ann Boating Days","WD",2030,"CMIP3",177.7333,171.8
