"measure","scenario","period","climset","value","value_hist"
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP3",157.7,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP5",166.0333,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP3",124.5667,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP5",136.7333,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP3",191.6333,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP5",193.7667,154.9
"BoyleReach Mean Ann Fishing Days","HW",2030,"CMIP3",146.3667,154.9
"BoyleReach Mean Ann Fishing Days","HW",2030,"CMIP5",143.5333,154.9
"BoyleReach Mean Ann Fishing Days","CT",2030,"CMIP3",156.4333,154.9
"BoyleReach Mean Ann Fishing Days","CT",2030,"CMIP5",144.3,154.9
"BoyleReach Mean Ann Fishing Days","WD",2070,"CMIP3",176.3333,154.9
"BoyleReach Mean Ann Fishing Days","WD",2070,"CMIP5",176,154.9
"BoyleReach Mean Ann Fishing Days","WW",2070,"CMIP3",119.8,154.9
"BoyleReach Mean Ann Fishing Days","WW",2070,"CMIP5",125.9667,154.9
"BoyleReach Mean Ann Fishing Days","HD",2070,"CMIP3",198.1667,154.9
"BoyleReach Mean Ann Fishing Days","HD",2070,"CMIP5",194.6667,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP3",138.4333,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP5",138,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP3",152.7,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP5",163.2333,154.9
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP3",257.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP5",257.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP3",236,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP5",243.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP3",275.4,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP5",271.5667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP3",243.7,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP5",243.9,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP3",256.1333,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP5",249.3667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP3",267.4,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP5",266.0333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP3",229.0333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP5",233.5333,220.4333
