"measure","scenario","period","climset","strategy","value","value_hist"
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP3","Add 30KAF",151.3333,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP3","Baseline",157.7,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 30%",157,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 50%",156.6,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP5","Add 30KAF",159.1333,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP5","Baseline",166.0333,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 30%",164.1667,154.9
"BoyleReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 50%",162.3,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP3","Add 30KAF",120,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP3","Baseline",124.5667,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 30%",124.2667,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 50%",124.0333,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP5","Add 30KAF",131,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP5","Baseline",136.7333,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 30%",136.4667,154.9
"BoyleReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 50%",136.3667,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP3","Add 30KAF",185.5667,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP3","Baseline",191.6333,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 30%",189.8333,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 50%",189.4,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP5","Add 30KAF",190.4667,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP5","Baseline",193.7667,154.9
"BoyleReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 30%",193.0667,154.9
