"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP3","Baseline",59,1.41237288135593,"3"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 30%",59,1.2428813559322,"3"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 50%",59,0.903898305084741,"3"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP3","Add 30KAF",59,-0.734406779661021,"2"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP5","Baseline",59,4.85881355932204,"3"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 30%",59,5.08474576271187,"3"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 50%",59,5.76271186440678,"3"
"BoyleReach Mean Ann Boating Days","1",2070,"CMIP5","Add 30KAF",59,9.32203389830508,"3"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP3","Baseline",59,-19.3784745762712,"1"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 30%",59,-19.8305084745763,"1"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 50%",59,-19.5479661016949,"1"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP3","Add 30KAF",59,-17.1750847457627,"2"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP5","Baseline",59,-12.8813559322034,"2"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 30%",59,-11.7513559322034,"2"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 50%",59,-11.0169491525424,"2"
"BoyleReach Mean Ann Boating Days","2",2070,"CMIP5","Add 30KAF",59,-9.60457627118644,"2"
"BoyleReach Mean Ann Boating Days","3",2070,"CMIP3","Baseline",59,-9.15254237288135,"2"
"BoyleReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 30%",59,-8.13559322033898,"2"
