"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP3","Baseline",154.9,-19.5825048418334,"1"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 30%",154.9,-19.7761781794706,"1"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 50%",154.9,-19.9268560361524,"1"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP3","Add 30KAF",154.9,-22.5306649451259,"1"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP5","Baseline",154.9,-11.7280180761782,"2"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 30%",154.9,-11.9001291155584,"2"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 50%",154.9,-11.9646868947708,"2"
"BoyleReach Mean Ann Fishing Days","1",2030,"CMIP5","Add 30KAF",154.9,-15.4293092317624,"1"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP3","Baseline",154.9,1.80761781794705,"3"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 30%",154.9,1.35571336346029,"3"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 50%",154.9,1.09748224661071,"3"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP3","Add 30KAF",154.9,-2.30258231116849,"2"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP5","Baseline",154.9,7.18741123305358,"3"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 30%",154.9,5.98237572627501,"3"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 50%",154.9,4.77727566171724,"3"
"BoyleReach Mean Ann Fishing Days","2",2030,"CMIP5","Add 30KAF",154.9,2.73292446739831,"3"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP3","Baseline",154.9,-5.50890897353131,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 30%",154.9,-6.02537120723048,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 50%",154.9,-6.39122014202712,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP3","Add 30KAF",154.9,-6.97224015493868,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP5","Baseline",154.9,-7.33808908973532,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 30%",154.9,-8.39251129761136,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 50%",154.9,-9.21026468689478,"2"
"BoyleReach Mean Ann Fishing Days","3",2030,"CMIP5","Add 30KAF",154.9,-10.1570690768238,"2"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP3","Baseline",154.9,23.7142027114267,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 30%",154.9,22.5521626856036,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 50%",154.9,22.2724338282763,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP3","Add 30KAF",154.9,19.7977404777276,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP5","Baseline",154.9,25.0914783731439,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 30%",154.9,24.6395739186572,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 50%",154.9,24.015493867011,"4"
"BoyleReach Mean Ann Fishing Days","4",2030,"CMIP5","Add 30KAF",154.9,22.9610716591349,"4"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP3","Baseline",154.9,0.989864428663652,"3"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 30%",154.9,-0.0430600387346658,"2"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 50%",154.9,-1.09748224661073,"2"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP3","Add 30KAF",154.9,-2.68992898644286,"2"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP5","Baseline",154.9,-6.84312459651388,"2"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 30%",154.9,-7.72543576500968,"2"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 50%",154.9,-7.85455132343447,"2"
"BoyleReach Mean Ann Fishing Days","5",2030,"CMIP5","Add 30KAF",154.9,-10.6950936087799,"2"
