"measure","scenario","period","climset","value","value_hist"
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP3",357.2308,361.3104
"Mean Project Supply (Apr-Sep)","WD",2030,"CMIP5",344.349,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP3",369.2528,361.3104
"Mean Project Supply (Apr-Sep)","WW",2030,"CMIP5",371.4376,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP3",330.0919,361.3104
"Mean Project Supply (Apr-Sep)","HD",2030,"CMIP5",339.2009,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP3",365.0589,361.3104
"Mean Project Supply (Apr-Sep)","HW",2030,"CMIP5",369.2656,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP3",357.9902,361.3104
"Mean Project Supply (Apr-Sep)","CT",2030,"CMIP5",359.0016,361.3104
"Mean Project Supply (Apr-Sep)","WD",2070,"CMIP3",339.0871,361.3104
"Mean Project Supply (Apr-Sep)","WD",2070,"CMIP5",348.7321,361.3104
"Mean Project Supply (Apr-Sep)","WW",2070,"CMIP3",373.8168,361.3104
"Mean Project Supply (Apr-Sep)","WW",2070,"CMIP5",372.4986,361.3104
"Mean Project Supply (Apr-Sep)","HD",2070,"CMIP3",317.8179,361.3104
"Mean Project Supply (Apr-Sep)","HD",2070,"CMIP5",321.1393,361.3104
"Mean Project Supply (Apr-Sep)","HW",2070,"CMIP3",365.6945,361.3104
"Mean Project Supply (Apr-Sep)","HW",2070,"CMIP5",368.422,361.3104
"Mean Project Supply (Apr-Sep)","CT",2070,"CMIP3",360.073,361.3104
"Mean Project Supply (Apr-Sep)","CT",2070,"CMIP5",361.6493,361.3104
