"measure","scenario","period","climset","strategy","value","value_hist"
"Mean Annual Scott Flow","WD",2030,"CMIP3","Add 30KAF",629.2486,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP3","Baseline",629.2486,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP3","Reduce ET 30%",630.5846,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP3","Reduce ET 50%",631.6089,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP5","Add 30KAF",632.5014,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP5","Baseline",632.5014,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP5","Reduce ET 30%",633.8177,668.7854
"Mean Annual Scott Flow","WD",2030,"CMIP5","Reduce ET 50%",634.8571,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP3","Add 30KAF",842.3987,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP3","Baseline",842.3987,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP3","Reduce ET 30%",843.3326,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP3","Reduce ET 50%",844.0362,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP5","Add 30KAF",827.2676,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP5","Baseline",827.2676,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP5","Reduce ET 30%",827.9518,668.7854
"Mean Annual Scott Flow","WW",2030,"CMIP5","Reduce ET 50%",828.5148,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP3","Add 30KAF",613.0855,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP3","Baseline",613.0855,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP3","Reduce ET 30%",615.1236,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP3","Reduce ET 50%",616.8022,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP5","Add 30KAF",588.4362,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP5","Baseline",588.4362,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP5","Reduce ET 30%",589.9414,668.7854
"Mean Annual Scott Flow","HD",2030,"CMIP5","Reduce ET 50%",591.2283,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP3","Add 30KAF",834.5261,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP3","Baseline",834.5261,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP3","Reduce ET 30%",836.4532,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP3","Reduce ET 50%",837.9692,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP5","Add 30KAF",806.3598,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP5","Baseline",806.3598,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP5","Reduce ET 30%",808.0506,668.7854
"Mean Annual Scott Flow","HW",2030,"CMIP5","Reduce ET 50%",809.4466,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP3","Add 30KAF",712.1465,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP3","Baseline",712.1465,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP3","Reduce ET 30%",713.5683,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP3","Reduce ET 50%",714.6789,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP5","Add 30KAF",738.8394,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP5","Baseline",738.8394,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP5","Reduce ET 30%",740.2342,668.7854
"Mean Annual Scott Flow","CT",2030,"CMIP5","Reduce ET 50%",741.3623,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP3","Add 30KAF",593.5264,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP3","Baseline",593.5264,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP3","Reduce ET 30%",595.4132,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP3","Reduce ET 50%",596.9744,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP5","Add 30KAF",618.6662,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP5","Baseline",618.6662,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP5","Reduce ET 30%",619.8416,668.7854
"Mean Annual Scott Flow","WD",2070,"CMIP5","Reduce ET 50%",620.8246,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP3","Add 30KAF",880.7489,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP3","Baseline",880.7489,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP3","Reduce ET 30%",881.8964,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP3","Reduce ET 50%",882.8396,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP5","Add 30KAF",859.7871,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP5","Baseline",859.7871,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP5","Reduce ET 30%",859.9095,668.7854
"Mean Annual Scott Flow","WW",2070,"CMIP5","Reduce ET 50%",860.1197,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP3","Add 30KAF",547.4564,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP3","Baseline",547.4564,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP3","Reduce ET 30%",550.4675,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP3","Reduce ET 50%",552.8526,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP5","Add 30KAF",563.7812,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP5","Baseline",563.7812,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP5","Reduce ET 30%",566.803,668.7854
"Mean Annual Scott Flow","HD",2070,"CMIP5","Reduce ET 50%",569.0945,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP3","Add 30KAF",823.2052,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP3","Baseline",823.2052,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP3","Reduce ET 30%",825.1143,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP3","Reduce ET 50%",826.6372,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP5","Add 30KAF",839.7791,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP5","Baseline",839.7791,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP5","Reduce ET 30%",842.5903,668.7854
"Mean Annual Scott Flow","HW",2070,"CMIP5","Reduce ET 50%",844.7185,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP3","Add 30KAF",755.673,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP3","Baseline",755.673,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP3","Reduce ET 30%",757.5572,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP3","Reduce ET 50%",759.0676,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP5","Add 30KAF",766.2631,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP5","Baseline",766.2631,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP5","Reduce ET 30%",767.9676,668.7854
"Mean Annual Scott Flow","CT",2070,"CMIP5","Reduce ET 50%",769.3918,668.7854
"Mean Annual Shasta Flow","WD",2030,"CMIP3","Add 30KAF",179.9013,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP3","Baseline",179.9013,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP3","Reduce ET 30%",180.4906,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP3","Reduce ET 50%",181.009,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP5","Add 30KAF",175.7829,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP5","Baseline",175.7829,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP5","Reduce ET 30%",176.9385,187.6871
"Mean Annual Shasta Flow","WD",2030,"CMIP5","Reduce ET 50%",177.8569,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP3","Add 30KAF",217.7961,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP3","Baseline",217.7961,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP3","Reduce ET 30%",217.7904,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP3","Reduce ET 50%",217.8609,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP5","Add 30KAF",212.2924,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP5","Baseline",212.2924,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP5","Reduce ET 30%",212.5913,187.6871
"Mean Annual Shasta Flow","WW",2030,"CMIP5","Reduce ET 50%",212.8666,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP3","Add 30KAF",173.102,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP3","Baseline",173.102,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP3","Reduce ET 30%",174.7543,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP3","Reduce ET 50%",176.1537,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP5","Add 30KAF",173.1132,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP5","Baseline",173.1132,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP5","Reduce ET 30%",173.8419,187.6871
"Mean Annual Shasta Flow","HD",2030,"CMIP5","Reduce ET 50%",174.603,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP3","Add 30KAF",206.1746,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP3","Baseline",206.1746,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP3","Reduce ET 30%",207.5701,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP3","Reduce ET 50%",208.6852,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP5","Add 30KAF",209.9437,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP5","Baseline",209.9437,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP5","Reduce ET 30%",210.7404,187.6871
"Mean Annual Shasta Flow","HW",2030,"CMIP5","Reduce ET 50%",211.4855,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP3","Add 30KAF",188.9612,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP3","Baseline",188.9612,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP3","Reduce ET 30%",190.2655,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP3","Reduce ET 50%",191.293,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP5","Add 30KAF",195.5116,187.6871
"Mean Annual Shasta Flow","CT",2030,"CMIP5","Baseline",195.5116,187.6871
