"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Mean Annual Scott Flow","1",2030,"CMIP3","Baseline",668.7854,25.9594931348681,"4"
"Mean Annual Scott Flow","1",2030,"CMIP3","Reduce ET 30%",668.7854,26.0991343411504,"4"
"Mean Annual Scott Flow","1",2030,"CMIP3","Reduce ET 50%",668.7854,26.204339987087,"4"
"Mean Annual Scott Flow","1",2030,"CMIP3","Add 30KAF",668.7854,25.9594931348681,"4"
"Mean Annual Scott Flow","1",2030,"CMIP5","Baseline",668.7854,23.6970185054877,"4"
"Mean Annual Scott Flow","1",2030,"CMIP5","Reduce ET 30%",668.7854,23.7993233703966,"4"
"Mean Annual Scott Flow","1",2030,"CMIP5","Reduce ET 50%",668.7854,23.8835058301213,"4"
"Mean Annual Scott Flow","1",2030,"CMIP5","Add 30KAF",668.7854,23.6970185054877,"4"
"Mean Annual Scott Flow","2",2030,"CMIP3","Baseline",668.7854,-5.91173192476989,"2"
"Mean Annual Scott Flow","2",2030,"CMIP3","Reduce ET 30%",668.7854,-5.71196679831826,"2"
"Mean Annual Scott Flow","2",2030,"CMIP3","Reduce ET 50%",668.7854,-5.55880855054552,"2"
"Mean Annual Scott Flow","2",2030,"CMIP3","Add 30KAF",668.7854,-5.91173192476989,"2"
"Mean Annual Scott Flow","2",2030,"CMIP5","Baseline",668.7854,-5.42535767078647,"2"
"Mean Annual Scott Flow","2",2030,"CMIP5","Reduce ET 30%",668.7854,-5.22853818280124,"2"
"Mean Annual Scott Flow","2",2030,"CMIP5","Reduce ET 50%",668.7854,-5.07312211062024,"2"
"Mean Annual Scott Flow","2",2030,"CMIP5","Add 30KAF",668.7854,-5.42535767078647,"2"
"Mean Annual Scott Flow","3",2030,"CMIP3","Baseline",668.7854,24.7823442317969,"4"
"Mean Annual Scott Flow","3",2030,"CMIP3","Reduce ET 30%",668.7854,25.0704934647198,"4"
"Mean Annual Scott Flow","3",2030,"CMIP3","Reduce ET 50%",668.7854,25.2971730543161,"4"
"Mean Annual Scott Flow","3",2030,"CMIP3","Add 30KAF",668.7854,24.7823442317969,"4"
"Mean Annual Scott Flow","3",2030,"CMIP5","Baseline",668.7854,20.5707839913969,"4"
"Mean Annual Scott Flow","3",2030,"CMIP5","Reduce ET 30%",668.7854,20.8236005152026,"4"
"Mean Annual Scott Flow","3",2030,"CMIP5","Reduce ET 50%",668.7854,21.0323371293692,"4"
"Mean Annual Scott Flow","3",2030,"CMIP5","Add 30KAF",668.7854,20.5707839913969,"4"
"Mean Annual Scott Flow","4",2030,"CMIP3","Baseline",668.7854,-8.32851614284641,"2"
"Mean Annual Scott Flow","4",2030,"CMIP3","Reduce ET 30%",668.7854,-8.02376965765102,"2"
"Mean Annual Scott Flow","4",2030,"CMIP3","Reduce ET 50%",668.7854,-7.77277733634736,"2"
"Mean Annual Scott Flow","4",2030,"CMIP3","Add 30KAF",668.7854,-8.32851614284641,"2"
"Mean Annual Scott Flow","4",2030,"CMIP5","Baseline",668.7854,-12.0141976783584,"2"
"Mean Annual Scott Flow","4",2030,"CMIP5","Reduce ET 30%",668.7854,-11.7891329565508,"2"
"Mean Annual Scott Flow","4",2030,"CMIP5","Reduce ET 50%",668.7854,-11.5967094975458,"2"
"Mean Annual Scott Flow","4",2030,"CMIP5","Add 30KAF",668.7854,-12.0141976783584,"2"
"Mean Annual Scott Flow","5",2030,"CMIP3","Baseline",668.7854,6.48355959923766,"3"
"Mean Annual Scott Flow","5",2030,"CMIP3","Reduce ET 30%",668.7854,6.69615395312159,"3"
"Mean Annual Scott Flow","5",2030,"CMIP3","Reduce ET 50%",668.7854,6.86221619072426,"3"
"Mean Annual Scott Flow","5",2030,"CMIP3","Add 30KAF",668.7854,6.48355959923766,"3"
"Mean Annual Scott Flow","5",2030,"CMIP5","Baseline",668.7854,10.4748100063189,"3"
"Mean Annual Scott Flow","5",2030,"CMIP5","Reduce ET 30%",668.7854,10.6833671907311,"3"
"Mean Annual Scott Flow","5",2030,"CMIP5","Reduce ET 50%",668.7854,10.8520461122507,"3"
"Mean Annual Scott Flow","5",2030,"CMIP5","Add 30KAF",668.7854,10.4748100063189,"3"
"Mean Annual Shasta Flow","1",2030,"CMIP3","Baseline",187.6871,16.0421254311032,"3"
"Mean Annual Shasta Flow","1",2030,"CMIP3","Reduce ET 30%",187.6871,16.0390884615938,"3"
"Mean Annual Shasta Flow","1",2030,"CMIP3","Reduce ET 50%",187.6871,16.0766509792095,"3"
"Mean Annual Shasta Flow","1",2030,"CMIP3","Add 30KAF",187.6871,16.0421254311032,"3"
"Mean Annual Shasta Flow","1",2030,"CMIP5","Baseline",187.6871,13.1097448892332,"3"
