"measure","scenario","period","climset","value","value_hist"
"Mean Annual MWAT","WD",2030,"CMIP3",78.9217,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",79.472,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",78.4477,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",78.9963,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",80.5794,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",80.5357,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",80.1517,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",80.5229,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3",79.8731,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5",79.7917,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3",80.4714,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5",79.8414,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3",80.252,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5",79.394,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3",82.7394,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5",83.1843,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3",82.2269,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5",83.6583,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3",81.1974,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5",80.8357,75.7443
