"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Mean Annual MWAT","1",2030,"CMIP3","Baseline",75.7443,3.56911345144123,"3"
"Mean Annual MWAT","1",2030,"CMIP3","Add Flow
10%",75.7443,3.09607455610521,"3"
"Mean Annual MWAT","1",2030,"CMIP3","Add Flow
20%",75.7443,2.72601370664196,"3"
"Mean Annual MWAT","1",2030,"CMIP3","Reduce Tribs
4degC",75.7443,-1.06833121436199,"2"
"Mean Annual MWAT","1",2030,"CMIP3","Reduce Dam
Outflow
4degC",75.7443,-0.36438385462668,"2"
"Mean Annual MWAT","1",2030,"CMIP5","Baseline",75.7443,4.29339237407965,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Add Flow
10%",75.7443,3.77163694165767,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Add Flow
20%",75.7443,3.36091296638824,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Reduce Tribs
4degC",75.7443,-0.267082803590493,"2"
"Mean Annual MWAT","1",2030,"CMIP5","Reduce Dam
Outflow
4degC",75.7443,0.355274258261029,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Baseline",75.7443,4.19490311482185,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Add Flow
10%",75.7443,3.63367276481531,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Add Flow
20%",75.7443,3.20591780503616,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Reduce Tribs
4degC",75.7443,-0.381414839136408,"2"
"Mean Annual MWAT","2",2030,"CMIP3","Reduce Dam
Outflow
4degC",75.7443,0.254540605695749,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Baseline",75.7443,4.92142643076773,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Add Flow
10%",75.7443,4.32613411174175,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Add Flow
20%",75.7443,3.88491279211769,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Reduce Tribs
4degC",75.7443,0.354218073175157,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Reduce Dam
Outflow
4degC",75.7443,0.951622762372893,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Baseline",75.7443,5.81878768435382,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Add Flow
10%",75.7443,5.2734001106354,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Add Flow
20%",75.7443,4.85686711739366,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Reduce Tribs
4degC",75.7443,1.3330376015093,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Reduce Dam
Outflow
4degC",75.7443,1.9192203241696,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Baseline",75.7443,6.30885756419957,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Add Flow
10%",75.7443,5.76452617556702,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Add Flow
20%",75.7443,5.35261399207597,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Reduce Tribs
4degC",75.7443,1.76871394943251,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Reduce Dam
Outflow
4degC",75.7443,2.35265227878535,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Baseline",75.7443,6.38345063588945,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Add Flow
10%",75.7443,5.78934652508507,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Add Flow
20%",75.7443,5.32422901789311,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Reduce Tribs
4degC",75.7443,1.94179628038019,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Reduce Dam
Outflow
4degC",75.7443,2.50989183344489,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Baseline",75.7443,6.32575652557355,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Add Flow
10%",75.7443,5.72940802146169,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Add Flow
20%",75.7443,5.26996750910631,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Reduce Tribs
4degC",75.7443,1.78574493394224,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Reduce Dam
Outflow
4degC",75.7443,2.41153459732283,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Baseline",75.7443,5.45097122819803,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Add Flow
10%",75.7443,4.88406388335493,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Add Flow
20%",75.7443,4.48575008284452,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Reduce Tribs
4degC",75.7443,0.926802412854826,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Reduce Dam
Outflow
4degC",75.7443,1.55364826132131,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Baseline",75.7443,5.34350439571032,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Add Flow
10%",75.7443,4.79468422046281,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Add Flow
20%",75.7443,4.3770950421352,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Reduce Tribs
4degC",75.7443,0.816959163923896,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Reduce Dam
Outflow
4degC",75.7443,1.41568408447896,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP3","Baseline",12.0643,22.4082623940055,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP3","Add Flow
10%",12.0643,19.4383428794045,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP3","Add Flow
20%",12.0643,17.1149590112978,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP3","Reduce Tribs
4degC",12.0643,-6.7073928864501,"2"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP3","Reduce Dam
Outflow
4degC",12.0643,-2.2877415183641,"2"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP5","Baseline",12.0643,26.9555631076813,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP5","Add Flow
10%",12.0643,23.6797824987774,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP5","Add Flow
20%",12.0643,21.1010999394909,"3"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP5","Reduce Tribs
4degC",12.0643,-1.67684822161252,"2"
"Mean exceedence of MWAT - Poor","1",2030,"CMIP5","Reduce Dam
Outflow
4degC",12.0643,2.230547980405,"3"
