"measure","scenario","period","climset","strategy","value","value_hist"
"Mean Annual MWAT","WD",2030,"CMIP3","Add 30KAF",78.9294,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3","Baseline",78.9217,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3","Reduce ET 30%",78.9217,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3","Reduce ET 50%",78.9131,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5","Add 30KAF",79.484,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5","Baseline",79.472,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5","Reduce ET 30%",79.472,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5","Reduce ET 50%",79.4763,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3","Add 30KAF",78.4571,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3","Baseline",78.4477,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3","Reduce ET 30%",78.4477,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3","Reduce ET 50%",78.4486,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5","Add 30KAF",79.0057,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5","Baseline",78.9963,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5","Reduce ET 30%",78.9963,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5","Reduce ET 50%",78.9963,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3","Add 30KAF",80.5897,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3","Baseline",80.5794,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3","Reduce ET 30%",80.5794,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3","Reduce ET 50%",80.5871,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5","Add 30KAF",80.5391,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5","Baseline",80.5357,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5","Reduce ET 30%",80.5357,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5","Reduce ET 50%",80.5409,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3","Add 30KAF",80.1654,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3","Baseline",80.1517,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3","Reduce ET 30%",80.1517,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3","Reduce ET 50%",80.1663,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5","Add 30KAF",80.5451,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5","Baseline",80.5229,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5","Reduce ET 30%",80.5229,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5","Reduce ET 50%",80.5314,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3","Add 30KAF",79.8809,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3","Baseline",79.8731,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3","Reduce ET 30%",79.8731,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3","Reduce ET 50%",79.8757,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5","Add 30KAF",79.8029,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5","Baseline",79.7917,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5","Reduce ET 30%",79.7917,75.7443
"Mean Annual MWAT","CT",2030,"CMIP5","Reduce ET 50%",79.8011,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3","Add 30KAF",80.4766,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3","Baseline",80.4714,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3","Reduce ET 30%",80.4714,75.7443
"Mean Annual MWAT","WD",2070,"CMIP3","Reduce ET 50%",80.4774,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5","Add 30KAF",79.8457,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5","Baseline",79.8414,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5","Reduce ET 30%",79.8414,75.7443
"Mean Annual MWAT","WD",2070,"CMIP5","Reduce ET 50%",79.8466,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3","Add 30KAF",80.2631,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3","Baseline",80.252,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3","Reduce ET 30%",80.252,75.7443
"Mean Annual MWAT","WW",2070,"CMIP3","Reduce ET 50%",80.2571,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5","Add 30KAF",79.4146,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5","Baseline",79.394,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5","Reduce ET 30%",79.394,75.7443
"Mean Annual MWAT","WW",2070,"CMIP5","Reduce ET 50%",79.394,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3","Add 30KAF",82.7583,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3","Baseline",82.7394,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3","Reduce ET 30%",82.7394,75.7443
"Mean Annual MWAT","HD",2070,"CMIP3","Reduce ET 50%",82.7669,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5","Add 30KAF",83.2083,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5","Baseline",83.1843,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5","Reduce ET 30%",83.1843,75.7443
"Mean Annual MWAT","HD",2070,"CMIP5","Reduce ET 50%",83.2014,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3","Add 30KAF",82.2534,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3","Baseline",82.2269,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3","Reduce ET 30%",82.2269,75.7443
"Mean Annual MWAT","HW",2070,"CMIP3","Reduce ET 50%",82.25,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5","Add 30KAF",83.6814,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5","Baseline",83.6583,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5","Reduce ET 30%",83.6583,75.7443
"Mean Annual MWAT","HW",2070,"CMIP5","Reduce ET 50%",83.6609,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3","Add 30KAF",81.2103,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3","Baseline",81.1974,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3","Reduce ET 30%",81.1974,75.7443
"Mean Annual MWAT","CT",2070,"CMIP3","Reduce ET 50%",81.2077,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5","Add 30KAF",80.8426,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5","Baseline",80.8357,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5","Reduce ET 30%",80.8357,75.7443
"Mean Annual MWAT","CT",2070,"CMIP5","Reduce ET 50%",80.8477,75.7443
