"measure","scenario","period","climset","value","value_hist"
"Mean Annual MWAT","WD",2030,"CMIP3",78.9217,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3",78.4966,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3",78.1726,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3",75.4554,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3",75.9371,75.7443
"Mean Annual MWAT","WD",2030,"CMIP3",78.854,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",79.472,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",79.0211,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",78.6869,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",76.0126,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",76.4651,75.7443
"Mean Annual MWAT","WD",2030,"CMIP5",79.4171,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",78.4477,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",78.0894,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",77.8091,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",74.9351,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",75.4683,75.7443
"Mean Annual MWAT","WW",2030,"CMIP3",78.35,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",78.9963,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",78.6011,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",78.29,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",75.542,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",76.0134,75.7443
"Mean Annual MWAT","WW",2030,"CMIP5",78.8986,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",80.5794,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",80.1294,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",79.7771,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",77.2151,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",77.6454,75.7443
"Mean Annual MWAT","HD",2030,"CMIP3",80.5357,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",80.5357,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",80.084,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",79.736,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",77.0969,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",77.5709,75.7443
"Mean Annual MWAT","HD",2030,"CMIP5",80.4731,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",80.1517,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",79.7386,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",79.4231,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",76.754,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",77.198,75.7443
"Mean Annual MWAT","HW",2030,"CMIP3",80.0823,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",80.5229,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",80.1106,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",79.7986,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",77.084,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",77.5263,75.7443
"Mean Annual MWAT","HW",2030,"CMIP5",80.4543,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3",79.8731,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3",79.4437,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3",79.142,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3",76.4463,75.7443
"Mean Annual MWAT","CT",2030,"CMIP3",76.9211,75.7443
