"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Mean Annual MWAT","1",2030,"CMIP3","Baseline",75.7443,3.56911345144123,"3"
"Mean Annual MWAT","1",2030,"CMIP3","Reduce ET 30%",75.7443,3.56911345144123,"3"
"Mean Annual MWAT","1",2030,"CMIP3","Reduce ET 50%",75.7443,3.57030165966284,"3"
"Mean Annual MWAT","1",2030,"CMIP3","Add 30KAF",75.7443,3.58152362620026,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Baseline",75.7443,4.29339237407965,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Reduce ET 30%",75.7443,4.29339237407965,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Reduce ET 50%",75.7443,4.29339237407965,"3"
"Mean Annual MWAT","1",2030,"CMIP5","Add 30KAF",75.7443,4.30580254883867,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Baseline",75.7443,4.19490311482185,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Reduce ET 30%",75.7443,4.19490311482185,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Reduce ET 50%",75.7443,4.1835491251487,"3"
"Mean Annual MWAT","2",2030,"CMIP3","Add 30KAF",75.7443,4.20506889627339,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Baseline",75.7443,4.92142643076773,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Reduce ET 30%",75.7443,4.92142643076773,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Reduce ET 50%",75.7443,4.9271034256043,"3"
"Mean Annual MWAT","2",2030,"CMIP5","Add 30KAF",75.7443,4.93726920705584,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Baseline",75.7443,5.81878768435382,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Reduce ET 30%",75.7443,5.81878768435382,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Reduce ET 50%",75.7443,5.83806306217103,"3"
"Mean Annual MWAT","3",2030,"CMIP3","Add 30KAF",75.7443,5.83687485394942,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Baseline",75.7443,6.30885756419957,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Reduce ET 30%",75.7443,6.30885756419957,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Reduce ET 50%",75.7443,6.32007953073698,"3"
"Mean Annual MWAT","3",2030,"CMIP5","Add 30KAF",75.7443,6.33816670033258,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Baseline",75.7443,6.38345063588945,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Reduce ET 30%",75.7443,6.38345063588945,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Reduce ET 50%",75.7443,6.39361641734099,"3"
"Mean Annual MWAT","4",2030,"CMIP3","Add 30KAF",75.7443,6.39704901887006,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Baseline",75.7443,6.32575652557355,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Reduce ET 30%",75.7443,6.32575652557355,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Reduce ET 50%",75.7443,6.33262172863172,"3"
"Mean Annual MWAT","4",2030,"CMIP5","Add 30KAF",75.7443,6.33024531218852,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Baseline",75.7443,5.45097122819803,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Reduce ET 30%",75.7443,5.45097122819803,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Reduce ET 50%",75.7443,5.45440382972712,"3"
"Mean Annual MWAT","5",2030,"CMIP3","Add 30KAF",75.7443,5.46126903278531,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Baseline",75.7443,5.34350439571032,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Reduce ET 30%",75.7443,5.34350439571032,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Reduce ET 50%",75.7443,5.35591457046934,"3"
"Mean Annual MWAT","5",2030,"CMIP5","Add 30KAF",75.7443,5.35829098691254,"3"
