Datetime,Stage,Flow,Trend,Status
2019-02-26 09:00:00,2.7,203,,Normal
2019-02-26 10:00:00,2.7,203,0,Normal
2019-02-26 11:00:00,2.7,203,0,Normal
2019-02-26 12:00:00,2.7,203,0,Normal
2019-02-26 13:00:00,2.7,203,0,Normal
2019-02-26 14:00:00,2.7,203,0,Normal
2019-02-26 15:00:00,2.7,202,-,Normal
2019-02-26 16:00:00,2.7,202,0,Normal
2019-02-26 17:00:00,2.7,202,0,Normal
2019-02-26 18:00:00,2.7,202,0,Normal
2019-02-26 19:00:00,2.7,202,0,Normal
2019-02-26 20:00:00,2.7,202,0,Normal
2019-02-26 21:00:00,2.7,202,0,Normal
2019-02-26 22:00:00,2.7,202,0,Normal
2019-02-26 23:00:00,2.7,202,0,Normal
2019-02-27 00:00:00,2.7,202,0,Normal
2019-02-27 01:00:00,2.7,202,0,Normal
2019-02-27 02:00:00,2.7,202,0,Normal
2019-02-27 03:00:00,2.7,202,0,Normal
2019-02-27 04:00:00,2.7,202,0,Normal
2019-02-27 05:00:00,2.7,201,-,Normal
2019-02-27 06:00:00,2.7,201,0,Normal
2019-02-27 07:00:00,2.7,201,0,Normal
2019-02-27 08:00:00,2.7,201,0,Normal
2019-02-27 09:00:00,2.7,201,0,Normal
2019-02-27 10:00:00,2.7,201,0,Normal
2019-02-27 11:00:00,2.7,201,0,Normal
2019-02-27 12:00:00,2.7,201,0,Normal
2019-02-27 13:00:00,2.7,201,0,Normal
2019-02-27 14:00:00,2.7,201,0,Normal
2019-02-27 15:00:00,2.7,201,0,Normal
2019-02-27 16:00:00,2.7,201,0,Normal
2019-02-27 17:00:00,2.7,202,+,Normal
2019-02-27 18:00:00,2.7,203,+,Normal
2019-02-27 19:00:00,2.7,203,0,Normal
2019-02-27 20:00:00,2.7,204,+,Normal
2019-02-27 21:00:00,2.7,204,0,Normal
2019-02-27 22:00:00,2.7,205,+,Normal
2019-02-27 23:00:00,2.7,207,+,Normal
2019-02-28 00:00:00,2.8,209,+,Normal
2019-02-28 01:00:00,2.8,212,+,Normal
2019-02-28 02:00:00,2.8,214,+,Normal
2019-02-28 03:00:00,2.8,216,+,Normal
2019-02-28 04:00:00,2.8,218,+,Normal
2019-02-28 05:00:00,2.8,222,+,Normal
2019-02-28 06:00:00,2.8,226,+,Normal
2019-02-28 07:00:00,2.9,230,+,Normal
2019-02-28 08:00:00,2.9,235,+,Normal
2019-02-28 09:00:00,2.9,239,+,Normal
2019-02-28 10:00:00,2.9,243,+,Normal
2019-02-28 11:00:00,2.9,248,+,Normal
2019-02-28 12:00:00,3.0,254,+,Normal
2019-02-28 13:00:00,3.0,259,+,Normal
2019-02-28 14:00:00,3.0,265,+,Normal
2019-02-28 15:00:00,3.0,270,+,Normal
2019-02-28 16:00:00,3.1,276,+,Normal
2019-02-28 17:00:00,3.1,282,+,Normal
2019-02-28 18:00:00,3.1,289,+,Normal
2019-02-28 19:00:00,3.1,295,+,Normal
2019-02-28 20:00:00,3.2,302,+,Normal
2019-02-28 21:00:00,3.2,308,+,Normal
2019-02-28 22:00:00,3.2,315,+,Normal
2019-02-28 23:00:00,3.3,321,+,Normal
2019-03-01 00:00:00,3.3,327,+,Normal
2019-03-01 01:00:00,3.3,333,+,Normal
2019-03-01 02:00:00,3.3,339,+,Normal
2019-03-01 03:00:00,3.4,345,+,Normal
2019-03-01 04:00:00,3.4,351,+,Normal
2019-03-01 05:00:00,3.4,355,+,Normal
2019-03-01 06:00:00,3.4,358,+,Normal
2019-03-01 07:00:00,3.4,361,+,Normal
2019-03-01 08:00:00,3.4,365,+,Normal
2019-03-01 09:00:00,3.4,368,+,Normal
2019-03-01 10:00:00,3.5,372,+,Normal
2019-03-01 11:00:00,3.5,373,+,Normal
2019-03-01 12:00:00,3.5,374,+,Normal
2019-03-01 13:00:00,3.5,375,+,Normal
2019-03-01 14:00:00,3.5,377,+,Normal
2019-03-01 15:00:00,3.5,378,+,Normal
2019-03-01 16:00:00,3.5,379,+,Normal
2019-03-01 17:00:00,3.5,379,0,Normal
2019-03-01 18:00:00,3.5,380,+,Normal
2019-03-01 19:00:00,3.5,380,0,Normal
2019-03-01 20:00:00,3.5,380,0,Normal
2019-03-01 21:00:00,3.5,381,+,Normal
2019-03-01 22:00:00,3.5,381,0,Normal
2019-03-01 23:00:00,3.5,381,0,Normal
2019-03-02 00:00:00,3.5,381,0,Normal
2019-03-02 01:00:00,3.5,381,0,Normal
2019-03-02 02:00:00,3.5,382,+,Normal
2019-03-02 03:00:00,3.5,382,0,Normal
2019-03-02 04:00:00,3.5,382,0,Normal
2019-03-02 05:00:00,3.5,382,0,Normal
2019-03-02 06:00:00,3.5,382,0,Normal
2019-03-02 07:00:00,3.5,382,0,Normal
2019-03-02 08:00:00,3.5,382,0,Normal
2019-03-02 09:00:00,3.5,382,0,Normal
2019-03-02 10:00:00,3.5,382,0,Normal
2019-03-02 11:00:00,3.5,382,0,Normal
2019-03-02 12:00:00,3.5,382,0,Normal
2019-03-02 13:00:00,3.5,382,0,Normal
2019-03-02 14:00:00,3.5,381,-,Normal
2019-03-02 15:00:00,3.5,381,0,Normal
2019-03-02 16:00:00,3.5,381,0,Normal
2019-03-02 17:00:00,3.5,382,+,Normal
2019-03-02 18:00:00,3.5,382,0,Normal
2019-03-02 19:00:00,3.5,383,+,Normal
2019-03-02 20:00:00,3.5,383,0,Normal
2019-03-02 21:00:00,3.5,384,+,Normal
2019-03-02 22:00:00,3.5,384,0,Normal
2019-03-02 23:00:00,3.5,386,+,Normal
2019-03-03 00:00:00,3.5,388,+,Normal
2019-03-03 01:00:00,3.5,390,+,Normal
2019-03-03 02:00:00,3.5,391,+,Normal
2019-03-03 03:00:00,3.5,393,+,Normal
2019-03-03 04:00:00,3.6,395,+,Normal
