Datetime,Stage,Flow,Trend,Status
2019-02-25 14:00:00,7.0,936,,Normal
2019-02-25 15:00:00,7.1,970,+,Normal
2019-02-25 16:00:00,7.2,1005,+,Normal
2019-02-25 17:00:00,7.3,1087,+,Normal
2019-02-25 18:00:00,7.5,1170,+,Normal
2019-02-25 19:00:00,7.6,1253,+,Normal
2019-02-25 20:00:00,7.8,1335,+,Normal
2019-02-25 21:00:00,7.9,1418,+,Normal
2019-02-25 22:00:00,8.1,1501,+,Normal
2019-02-25 23:00:00,8.2,1616,+,Normal
2019-02-26 00:00:00,8.4,1732,+,Normal
2019-02-26 01:00:00,8.6,1847,+,Normal
2019-02-26 02:00:00,8.7,1963,+,Normal
2019-02-26 03:00:00,8.9,2079,+,Normal
2019-02-26 04:00:00,9.0,2194,+,Normal
2019-02-26 05:00:00,9.1,2257,+,Normal
2019-02-26 06:00:00,9.2,2319,+,Normal
2019-02-26 07:00:00,9.2,2382,+,Normal
2019-02-26 08:00:00,9.3,2445,+,Normal
2019-02-26 09:00:00,9.4,2508,+,Normal
2019-02-26 10:00:00,9.5,2570,+,Normal
2019-02-26 11:00:00,9.5,2575,+,Normal
2019-02-26 12:00:00,9.5,2581,+,Normal
2019-02-26 13:00:00,9.5,2586,+,Normal
2019-02-26 14:00:00,9.5,2598,+,Normal
2019-02-26 15:00:00,9.5,2611,+,Normal
2019-02-26 16:00:00,9.5,2624,+,Normal
2019-02-26 17:00:00,9.5,2626,+,Normal
2019-02-26 18:00:00,9.5,2628,+,Normal
2019-02-26 19:00:00,9.5,2630,+,Normal
2019-02-26 20:00:00,9.5,2632,+,Normal
2019-02-26 21:00:00,9.5,2634,+,Normal
2019-02-26 22:00:00,9.5,2636,+,Normal
2019-02-26 23:00:00,9.6,2679,+,Normal
2019-02-27 00:00:00,9.6,2721,+,Normal
2019-02-27 01:00:00,9.7,2764,+,Normal
2019-02-27 02:00:00,9.7,2807,+,Normal
2019-02-27 03:00:00,9.8,2849,+,Normal
2019-02-27 04:00:00,9.8,2892,+,Normal
2019-02-27 05:00:00,9.9,2957,+,Normal
2019-02-27 06:00:00,10.0,3022,+,Normal
2019-02-27 07:00:00,10.0,3086,+,Normal
2019-02-27 08:00:00,10.1,3151,+,Normal
2019-02-27 09:00:00,10.2,3216,+,Normal
2019-02-27 10:00:00,10.2,3281,+,Normal
