Datetime,Stage,Flow,Trend,Status
2019-02-25 14:00:00,19.3,49398,,Normal
2019-02-25 15:00:00,19.7,52021,+,Normal
2019-02-25 16:00:00,20.1,54591,+,Normal
2019-02-25 17:00:00,20.4,56656,+,Normal
2019-02-25 18:00:00,20.8,59018,+,Normal
2019-02-25 19:00:00,21.1,61569,+,Normal
2019-02-25 20:00:00,21.6,64294,+,Normal
2019-02-25 21:00:00,21.8,66351,+,Normal
2019-02-25 22:00:00,22.2,68657,+,Normal
2019-02-25 23:00:00,22.4,70169,+,Normal
2019-02-26 00:00:00,22.6,71753,+,Normal
2019-02-26 01:00:00,22.9,73504,+,Normal
2019-02-26 02:00:00,23.2,75594,+,Normal
2019-02-26 03:00:00,23.5,78368,+,Normal
2019-02-26 04:00:00,24.0,81706,+,Normal
2019-02-26 05:00:00,24.4,84735,+,Normal
2019-02-26 06:00:00,24.8,87783,+,Normal
2019-02-26 07:00:00,25.1,90602,+,Normal
2019-02-26 08:00:00,25.5,93231,+,Normal
2019-02-26 09:00:00,25.8,95565,+,Normal
2019-02-26 10:00:00,25.9,96834,+,Normal
2019-02-26 11:00:00,26.0,97751,+,Normal
2019-02-26 12:00:00,26.1,98433,+,Normal
2019-02-26 13:00:00,26.2,98898,+,Normal
2019-02-26 14:00:00,26.2,98657,-,Normal
2019-02-26 15:00:00,26.1,98334,-,Normal
2019-02-26 16:00:00,26.1,97875,-,Normal
2019-02-26 17:00:00,26.0,97652,-,Normal
2019-02-26 18:00:00,26.0,97275,-,Normal
2019-02-26 19:00:00,25.9,96794,-,Normal
2019-02-26 20:00:00,25.8,96166,-,Normal
2019-02-26 21:00:00,25.8,95446,-,Normal
2019-02-26 22:00:00,25.7,94827,-,Normal
2019-02-26 23:00:00,25.7,94745,-,Normal
2019-02-27 00:00:00,25.7,94645,-,Normal
2019-02-27 01:00:00,25.6,94561,-,Normal
2019-02-27 02:00:00,25.6,94542,-,Normal
2019-02-27 03:00:00,25.7,94647,+,Normal
2019-02-27 04:00:00,25.7,95010,+,Normal
2019-02-27 05:00:00,25.8,95762,+,Normal
2019-02-27 06:00:00,25.9,96839,+,Normal
2019-02-27 07:00:00,26.1,98174,+,Normal
2019-02-27 08:00:00,26.3,99873,+,Normal
2019-02-27 09:00:00,26.5,101627,+,Normal
2019-02-27 10:00:00,26.7,103418,+,Normal
2019-02-27 11:00:00,26.9,104857,+,Normal
2019-02-27 12:00:00,27.1,106167,+,Normal
2019-02-27 13:00:00,27.2,107453,+,Normal
2019-02-27 14:00:00,27.4,108610,+,Normal
2019-02-27 15:00:00,27.5,109755,+,Normal
2019-02-27 16:00:00,27.6,110735,+,Normal
2019-02-27 17:00:00,27.7,111469,+,Normal
2019-02-27 18:00:00,27.8,112294,+,Normal
2019-02-27 19:00:00,27.9,112902,+,Normal
2019-02-27 20:00:00,27.9,113520,+,Normal
2019-02-27 21:00:00,28.0,113889,+,Normal
2019-02-27 22:00:00,28.0,114146,+,Normal
2019-02-27 23:00:00,28.0,114125,-,Normal
2019-02-28 00:00:00,28.0,114082,-,Normal
2019-02-28 01:00:00,28.0,113978,-,Normal
2019-02-28 02:00:00,27.9,113553,-,Normal
2019-02-28 03:00:00,27.9,113090,-,Normal
2019-02-28 04:00:00,27.8,112540,-,Normal
2019-02-28 05:00:00,27.7,111745,-,Normal
2019-02-28 06:00:00,27.6,110933,-,Normal
2019-02-28 07:00:00,27.5,110058,-,Normal
2019-02-28 08:00:00,27.4,109050,-,Normal
2019-02-28 09:00:00,27.3,107994,-,Normal
2019-02-28 10:00:00,27.1,106798,-,Normal
2019-02-28 11:00:00,27.0,105449,-,Normal
2019-02-28 12:00:00,26.8,104057,-,Normal
2019-02-28 13:00:00,26.6,102646,-,Normal
2019-02-28 14:00:00,26.5,101323,-,Normal
2019-02-28 15:00:00,26.3,99950,-,Normal
2019-02-28 16:00:00,26.1,98438,-,Normal
2019-02-28 17:00:00,25.9,96928,-,Normal
2019-02-28 18:00:00,25.7,95389,-,Normal
2019-02-28 19:00:00,25.6,93836,-,Normal
2019-02-28 20:00:00,25.4,92301,-,Normal
2019-02-28 21:00:00,25.2,90745,-,Normal
2019-02-28 22:00:00,25.0,89187,-,Normal
2019-02-28 23:00:00,24.8,87713,-,Normal
2019-03-01 00:00:00,24.6,86183,-,Normal
2019-03-01 01:00:00,24.4,84641,-,Normal
2019-03-01 02:00:00,24.2,83107,-,Normal
2019-03-01 03:00:00,24.0,81551,-,Normal
2019-03-01 04:00:00,23.8,80007,-,Normal
2019-03-01 05:00:00,23.6,78537,-,Normal
2019-03-01 06:00:00,23.4,77070,-,Normal
2019-03-01 07:00:00,23.2,75614,-,Normal
2019-03-01 08:00:00,23.0,74248,-,Normal
2019-03-01 09:00:00,22.8,72908,-,Normal
2019-03-01 10:00:00,22.6,71600,-,Normal
2019-03-01 11:00:00,22.4,70442,-,Normal
2019-03-01 12:00:00,22.3,69300,-,Normal
2019-03-01 13:00:00,22.1,68170,-,Normal
2019-03-01 14:00:00,22.0,67067,-,Normal
2019-03-01 15:00:00,21.8,65984,-,Normal
2019-03-01 16:00:00,21.6,64905,-,Normal
2019-03-01 17:00:00,21.5,63951,-,Normal
2019-03-01 18:00:00,21.4,63025,-,Normal
2019-03-01 19:00:00,21.2,62126,-,Normal
2019-03-01 20:00:00,21.1,61246,-,Normal
2019-03-01 21:00:00,21.0,60381,-,Normal
2019-03-01 22:00:00,20.8,59529,-,Normal
2019-03-01 23:00:00,20.7,58750,-,Normal
2019-03-02 00:00:00,20.6,57994,-,Normal
2019-03-02 01:00:00,20.5,57248,-,Normal
2019-03-02 02:00:00,20.4,56511,-,Normal
2019-03-02 03:00:00,20.3,55790,-,Normal
2019-03-02 04:00:00,20.2,55095,-,Normal
