Datetime,Stage,Flow,Trend,Status
2019-02-25 14:00:00,10.3,16403,,Normal
2019-02-25 15:00:00,10.5,17047,+,Normal
2019-02-25 16:00:00,10.7,17796,+,Normal
2019-02-25 17:00:00,10.9,18619,+,Normal
2019-02-25 18:00:00,11.2,19500,+,Normal
2019-02-25 19:00:00,11.5,20454,+,Normal
2019-02-25 20:00:00,11.7,21527,+,Normal
2019-02-25 21:00:00,12.1,22802,+,Normal
2019-02-25 22:00:00,12.5,24362,+,Normal
2019-02-25 23:00:00,12.9,26038,+,Normal
2019-02-26 00:00:00,13.3,27713,+,Normal
2019-02-26 01:00:00,13.7,29387,+,Normal
2019-02-26 02:00:00,14.1,30977,+,Normal
2019-02-26 03:00:00,14.3,31835,+,Normal
2019-02-26 04:00:00,14.4,32480,+,Normal
2019-02-26 05:00:00,14.5,32987,+,Normal
2019-02-26 06:00:00,14.6,33482,+,Normal
2019-02-26 07:00:00,14.6,33410,-,Normal
2019-02-26 08:00:00,14.6,33352,-,Normal
2019-02-26 09:00:00,14.6,33195,-,Normal
2019-02-26 10:00:00,14.5,32959,-,Normal
2019-02-26 11:00:00,14.5,32663,-,Normal
2019-02-26 12:00:00,14.4,32330,-,Normal
2019-02-26 13:00:00,14.3,31877,-,Normal
2019-02-26 14:00:00,14.2,31341,-,Normal
2019-02-26 15:00:00,14.0,30758,-,Normal
2019-02-26 16:00:00,13.9,30251,-,Normal
2019-02-26 17:00:00,13.8,29680,-,Normal
2019-02-26 18:00:00,13.6,29048,-,Normal
2019-02-26 19:00:00,13.5,28413,-,Normal
2019-02-26 20:00:00,13.3,27826,-,Normal
2019-02-26 21:00:00,13.2,27318,-,Normal
2019-02-26 22:00:00,13.1,26889,-,Normal
2019-02-26 23:00:00,13.0,26506,-,Normal
2019-02-27 00:00:00,12.9,26160,-,Normal
2019-02-27 01:00:00,12.9,25920,-,Normal
2019-02-27 02:00:00,12.8,25773,-,Normal
2019-02-27 03:00:00,12.8,25725,-,Normal
2019-02-27 04:00:00,12.9,25806,+,Normal
2019-02-27 05:00:00,12.9,25932,+,Normal
2019-02-27 06:00:00,12.9,26084,+,Normal
2019-02-27 07:00:00,13.0,26304,+,Normal
2019-02-27 08:00:00,13.1,26623,+,Normal
2019-02-27 09:00:00,13.1,27013,+,Normal
2019-02-27 10:00:00,13.3,27597,+,Normal
2019-02-27 11:00:00,13.5,28330,+,Normal
2019-02-27 12:00:00,13.6,28899,+,Normal
2019-02-27 13:00:00,13.7,29532,+,Normal
2019-02-27 14:00:00,13.9,29975,+,Normal
2019-02-27 15:00:00,14.0,30418,+,Normal
2019-02-27 16:00:00,14.1,30867,+,Normal
2019-02-27 17:00:00,14.2,31322,+,Normal
2019-02-27 18:00:00,14.3,31735,+,Normal
2019-02-27 19:00:00,14.3,31862,+,Normal
2019-02-27 20:00:00,14.3,32013,+,Normal
2019-02-27 21:00:00,14.3,32120,+,Normal
2019-02-27 22:00:00,14.4,32190,+,Normal
2019-02-27 23:00:00,14.4,32240,+,Normal
2019-02-28 00:00:00,14.4,32264,+,Normal
2019-02-28 01:00:00,14.4,32152,-,Normal
2019-02-28 02:00:00,14.3,32029,-,Normal
2019-02-28 03:00:00,14.3,31882,-,Normal
2019-02-28 04:00:00,14.3,31708,-,Normal
2019-02-28 05:00:00,14.2,31518,-,Normal
2019-02-28 06:00:00,14.2,31317,-,Normal
2019-02-28 07:00:00,14.1,31184,-,Normal
2019-02-28 08:00:00,14.1,31010,-,Normal
2019-02-28 09:00:00,14.0,30778,-,Normal
2019-02-28 10:00:00,14.0,30502,-,Normal
2019-02-28 11:00:00,13.9,30200,-,Normal
2019-02-28 12:00:00,13.8,29882,-,Normal
2019-02-28 13:00:00,13.8,29547,-,Normal
2019-02-28 14:00:00,13.7,29196,-,Normal
2019-02-28 15:00:00,13.6,28868,-,Normal
2019-02-28 16:00:00,13.5,28532,-,Normal
2019-02-28 17:00:00,13.4,28141,-,Normal
2019-02-28 18:00:00,13.3,27719,-,Normal
2019-02-28 19:00:00,13.2,27284,-,Normal
2019-02-28 20:00:00,13.1,26845,-,Normal
2019-02-28 21:00:00,13.0,26407,-,Normal
2019-02-28 22:00:00,12.9,25970,-,Normal
2019-02-28 23:00:00,12.8,25535,-,Normal
2019-03-01 00:00:00,12.7,25100,-,Normal
2019-03-01 01:00:00,12.6,24720,-,Normal
2019-03-01 02:00:00,12.5,24369,-,Normal
2019-03-01 03:00:00,12.4,24032,-,Normal
2019-03-01 04:00:00,12.3,23719,-,Normal
2019-03-01 05:00:00,12.2,23402,-,Normal
2019-03-01 06:00:00,12.2,23084,-,Normal
2019-03-01 07:00:00,12.1,22774,-,Normal
2019-03-01 08:00:00,12.0,22475,-,Normal
2019-03-01 09:00:00,11.9,22183,-,Normal
2019-03-01 10:00:00,11.8,21897,-,Normal
2019-03-01 11:00:00,11.8,21620,-,Normal
2019-03-01 12:00:00,11.7,21348,-,Normal
