Datetime,Stage,Flow,Trend,Status
2019-02-26 09:00:00,7.4,7892,,Normal
2019-02-26 10:00:00,7.5,7963,+,Normal
2019-02-26 11:00:00,7.4,7955,-,Normal
2019-02-26 12:00:00,7.4,7942,-,Normal
2019-02-26 13:00:00,7.4,7925,-,Normal
2019-02-26 14:00:00,7.4,7902,-,Normal
2019-02-26 15:00:00,7.4,7872,-,Normal
2019-02-26 16:00:00,7.4,7838,-,Normal
2019-02-26 17:00:00,7.4,7849,+,Normal
2019-02-26 18:00:00,7.4,7861,+,Normal
2019-02-26 19:00:00,7.4,7874,+,Normal
2019-02-26 20:00:00,7.4,7892,+,Normal
2019-02-26 21:00:00,7.4,7916,+,Normal
2019-02-26 22:00:00,7.4,7946,+,Normal
2019-02-26 23:00:00,7.5,8086,+,Normal
2019-02-27 00:00:00,7.6,8231,+,Normal
2019-02-27 01:00:00,7.7,8382,+,Normal
2019-02-27 02:00:00,7.8,8551,+,Normal
2019-02-27 03:00:00,7.8,8745,+,Normal
2019-02-27 04:00:00,8.0,8958,+,Normal
2019-02-27 05:00:00,8.1,9252,+,Normal
2019-02-27 06:00:00,8.2,9556,+,Normal
2019-02-27 07:00:00,8.4,9868,+,Normal
2019-02-27 08:00:00,8.5,10154,+,Normal
2019-02-27 09:00:00,8.7,10450,+,Normal
2019-02-27 10:00:00,8.8,10757,+,Normal
2019-02-27 11:00:00,8.9,11036,+,Normal
2019-02-27 12:00:00,9.0,11319,+,Normal
2019-02-27 13:00:00,9.2,11600,+,Normal
2019-02-27 14:00:00,9.3,11867,+,Normal
2019-02-27 15:00:00,9.4,12133,+,Normal
2019-02-27 16:00:00,9.5,12396,+,Normal
2019-02-27 17:00:00,9.6,12571,+,Normal
2019-02-27 18:00:00,9.6,12741,+,Normal
2019-02-27 19:00:00,9.7,12905,+,Normal
2019-02-27 20:00:00,9.7,13031,+,Normal
2019-02-27 21:00:00,9.8,13092,+,Normal
2019-02-27 22:00:00,9.8,13106,+,Normal
2019-02-27 23:00:00,9.7,13015,-,Normal
2019-02-28 00:00:00,9.7,12896,-,Normal
2019-02-28 01:00:00,9.6,12755,-,Normal
2019-02-28 02:00:00,9.6,12610,-,Normal
2019-02-28 03:00:00,9.5,12474,-,Normal
2019-02-28 04:00:00,9.5,12342,-,Normal
2019-02-28 05:00:00,9.4,12174,-,Normal
2019-02-28 06:00:00,9.3,12005,-,Normal
2019-02-28 07:00:00,9.2,11835,-,Normal
2019-02-28 08:00:00,9.2,11665,-,Normal
2019-02-28 09:00:00,9.1,11495,-,Normal
2019-02-28 10:00:00,9.0,11323,-,Normal
2019-02-28 11:00:00,9.0,11140,-,Normal
2019-02-28 12:00:00,8.9,10950,-,Normal
2019-02-28 13:00:00,8.8,10757,-,Normal
2019-02-28 14:00:00,8.7,10562,-,Normal
2019-02-28 15:00:00,8.6,10364,-,Normal
2019-02-28 16:00:00,8.5,10163,-,Normal
2019-02-28 17:00:00,8.4,9986,-,Normal
2019-02-28 18:00:00,8.4,9808,-,Normal
2019-02-28 19:00:00,8.3,9629,-,Normal
2019-02-28 20:00:00,8.2,9450,-,Normal
2019-02-28 21:00:00,8.1,9271,-,Normal
2019-02-28 22:00:00,8.0,9094,-,Normal
2019-02-28 23:00:00,8.0,8952,-,Normal
2019-03-01 00:00:00,7.9,8814,-,Normal
2019-03-01 01:00:00,7.8,8682,-,Normal
2019-03-01 02:00:00,7.8,8556,-,Normal
2019-03-01 03:00:00,7.7,8435,-,Normal
2019-03-01 04:00:00,7.6,8318,-,Normal
2019-03-01 05:00:00,7.6,8221,-,Normal
2019-03-01 06:00:00,7.5,8126,-,Normal
2019-03-01 07:00:00,7.5,8031,-,Normal
2019-03-01 08:00:00,7.4,7939,-,Normal
2019-03-01 09:00:00,7.4,7850,-,Normal
2019-03-01 10:00:00,7.3,7762,-,Normal
2019-03-01 11:00:00,7.3,7673,-,Normal
2019-03-01 12:00:00,7.2,7582,-,Normal
2019-03-01 13:00:00,7.2,7489,-,Normal
2019-03-01 14:00:00,7.1,7395,-,Normal
2019-03-01 15:00:00,7.1,7299,-,Normal
2019-03-01 16:00:00,7.0,7202,-,Normal
2019-03-01 17:00:00,7.0,7112,-,Normal
2019-03-01 18:00:00,6.9,7024,-,Normal
2019-03-01 19:00:00,6.9,6937,-,Normal
2019-03-01 20:00:00,6.8,6850,-,Normal
2019-03-01 21:00:00,6.8,6766,-,Normal
2019-03-01 22:00:00,6.8,6685,-,Normal
2019-03-01 23:00:00,6.7,6616,-,Normal
2019-03-02 00:00:00,6.7,6551,-,Normal
2019-03-02 01:00:00,6.6,6491,-,Normal
2019-03-02 02:00:00,6.6,6435,-,Normal
2019-03-02 03:00:00,6.6,6383,-,Normal
2019-03-02 04:00:00,6.5,6336,-,Normal
2019-03-02 05:00:00,6.5,6299,-,Normal
2019-03-02 06:00:00,6.5,6265,-,Normal
2019-03-02 07:00:00,6.5,6234,-,Normal
2019-03-02 08:00:00,6.5,6206,-,Normal
2019-03-02 09:00:00,6.5,6180,-,Normal
2019-03-02 10:00:00,6.4,6155,-,Normal
2019-03-02 11:00:00,6.4,6129,-,Normal
2019-03-02 12:00:00,6.4,6099,-,Normal
2019-03-02 13:00:00,6.4,6066,-,Normal
2019-03-02 14:00:00,6.4,6030,-,Normal
2019-03-02 15:00:00,6.3,5991,-,Normal
2019-03-02 16:00:00,6.3,5951,-,Normal
2019-03-02 17:00:00,6.3,5915,-,Normal
2019-03-02 18:00:00,6.3,5878,-,Normal
2019-03-02 19:00:00,6.2,5841,-,Normal
2019-03-02 20:00:00,6.2,5803,-,Normal
2019-03-02 21:00:00,6.2,5766,-,Normal
2019-03-02 22:00:00,6.2,5731,-,Normal
2019-03-02 23:00:00,6.2,5706,-,Normal
2019-03-03 00:00:00,6.2,5686,-,Normal
2019-03-03 01:00:00,6.1,5671,-,Normal
2019-03-03 02:00:00,6.1,5661,-,Normal
2019-03-03 03:00:00,6.1,5657,-,Normal
2019-03-03 04:00:00,6.1,5655,-,Normal
