Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-26,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104,381.43104
2019-02-27,372.79645,372.79627,372.79645,372.79835,372.79645,372.79627,372.79645,372.79627,372.79645,372.79645,372.79627,372.79645,372.79645,372.79627,372.79645,372.79645,372.79627,372.79645,372.79877,372.79627,372.79877,372.79627,372.79627,372.79627,372.79627,372.79627,372.79627,372.79627,372.79645,372.79627,372.79835,372.79627,372.79627,372.79627,372.79645,372.79645,372.81045,372.79627,372.80107,372.79645,372.79817,372.79645,372.83126,372.79645,372.79627,372.79835,372.79645,372.79627,372.79627,372.79645,372.79627,372.79645,372.79645,372.79645,372.79627,372.79817,372.79817,372.79627,372.79645
2019-02-28,375.26956,375.25937,375.26706,375.48774,375.26667,375.25937,375.2631,375.25395,375.26667,375.26977,375.25937,375.2631,375.2631,375.26,375.26706,375.26706,375.25937,375.26977,375.44894,375.25937,375.39023,375.25937,375.285,375.25937,375.25937,375.25937,375.25317,375.25937,375.26706,375.25937,376.53834,375.25937,375.25937,375.25937,375.26706,375.26706,382.45353,375.26,375.78207,375.26706,375.32565,375.32276,381.05166,375.2631,375.25937,375.36165,375.2631,375.26,375.25937,375.2631,375.25395,375.26667,375.26917,375.2631,375.25937,375.31626,375.28208,375.25937,375.26816
2019-03-01,379.64875,379.46475,379.48707,395.76316,379.47273,379.44856,379.47395,379.46835,379.4725,379.9302,379.44856,379.4748,379.46436,379.53225,379.48707,379.5175,379.46746,379.73973,386.6323,379.46644,380.60144,379.46644,381.04314,379.48334,379.45354,379.48564,379.44815,379.48436,379.56688,379.46746,415.04502,379.49666,379.45396,379.46746,379.49666,379.48707,459.2677,379.50027,402.53043,379.51896,381.66836,381.42857,421.86314,379.47395,379.47726,383.64896,379.45643,379.49374,379.46644,379.47273,379.45434,379.47795,379.67473,379.47395,379.46644,380.28482,379.5829,379.46475,379.60044
2019-03-02,385.85937,379.80247,379.85703,436.8433,379.82044,379.75395,379.81206,380.4698,379.7871,391.50375,379.75395,379.83206,379.8073,382.86003,379.86815,381.91667,379.84085,385.30144,416.19644,379.8098,393.04602,379.8102,419.7879,380.87454,379.79108,382.78276,379.80545,380.96774,384.8573,379.82917,498.6798,382.86185,379.80855,379.83647,380.50228,379.86666,569.31376,381.64246,460.81337,381.08337,395.84142,400.48143,480.46917,379.81206,380.62185,414.34774,379.755,379.90686,379.8098,379.80607,379.7902,379.84627,383.76954,379.81206,379.80545,393.33335,385.04854,379.80247,382.8654
2019-03-03,407.54312,378.17255,378.28606,471.01796,378.28568,378.12936,378.18626,382.05335,378.1625,430.0517,378.12936,378.24413,378.20315,394.85085,378.34626,390.27625,378.31894,405.4596,473.5573,378.18456,430.16604,378.18336,523.9085,384.22954,378.19666,395.54983,378.30767,384.73314,404.66455,378.24336,585.3292,395.60392,378.27125,378.25668,382.00545,378.33586,656.52144,388.81335,515.0954,384.86895,428.87002,445.0892,543.681,378.1854,383.05107,467.79728,378.1298,378.37145,378.18664,378.17255,378.27775,378.32564,398.19482,378.19105,378.17913,433.3696,406.31732,378.17255,394.28356
2019-03-04,422.8656,376.00377,376.11505,474.34792,376.18837,375.9748,376.01626,382.06476,375.99894,476.6265,375.97355,376.07315,376.02895,400.98143,376.19206,394.80934,376.18685,416.11853,531.77565,376.01295,445.2765,376.01206,549.9796,385.39624,376.02815,402.71622,376.20315,386.09937,414.50003,376.07354,589.4934,403.54353,376.11276,376.09395,382.01895,376.19475,704.1846,393.73565,522.381,386.18666,452.4573,459.10227,573.9198,376.01668,403.55065,477.4025,375.97436,376.23316,376.02144,376.0077,376.1827,376.20476,405.58413,376.02773,376.0102,449.4577,417.6256,376.00377,400.29183
2019-03-05,485.53357,373.8327,373.9104,451.88543,378.72148,373.80546,373.84272,380.71045,373.83744,521.69234,373.79897,373.88337,373.8429,396.42963,373.96064,392.87773,373.97206,409.804,595.36165,373.8365,428.40105,373.83568,501.03873,381.99025,373.84376,397.83233,373.9823,382.17086,406.51602,373.88876,563.57455,421.8902,373.93397,375.1332,385.78853,373.98684,756.5208,441.6179,514.2102,382.24816,462.50978,442.9363,605.54296,373.84546,524.55103,450.21564,373.8067,374.04752,373.85064,373.83938,373.9823,374.02707,399.23894,373.8654,373.84105,441.1163,407.77162,373.83434,396.15062
2019-03-06,632.24524,371.81506,371.86167,464.98957,423.77713,371.78725,371.8306,387.18644,371.97337,568.01414,371.78126,371.85776,371.81896,398.65944,371.89937,426.21982,371.92148,406.76022,689.84354,371.81976,408.65213,371.81646,455.4388,379.75585,371.81666,403.27686,371.91877,377.43226,411.89873,373.37565,628.3077,485.8998,373.28875,405.62084,423.01834,371.93245,858.8304,628.79,534.4646,377.50086,462.9069,492.01417,652.06206,371.91376,690.53245,423.2712,372.16976,371.97816,371.82686,371.82584,372.50185,371.99104,412.85896,371.86226,371.81687,467.62776,394.79396,371.98165,399.10275
2019-03-07,938.2115,369.97855,370.00376,561.7665,582.28934,369.95107,369.99935,429.2052,384.48524,670.1035,396.69394,370.02105,369.97896,405.24912,370.05067,538.6835,370.0823,422.16712,846.0179,369.98147,399.09145,369.98016,470.48587,384.65917,369.97226,461.4538,370.05627,374.37084,499.96728,437.3523,752.0394,547.5129,400.32205,530.6348,490.80768,370.07147,1054.3015,904.9981,679.4623,381.85254,474.76897,588.7182,733.7075,375.92456,815.97483,406.12254,388.91482,370.09937,369.99017,369.99184,414.80812,374.02853,503.8442,372.25777,369.97935,576.1081,385.84816,382.98985,405.30208
2019-03-08,1125.5437,368.31185,368.33856,724.9264,802.6219,368.29087,368.33796,620.4252,439.64332,794.5304,739.73334,368.3523,368.31418,433.3904,368.37375,676.9042,369.8384,517.795,1082.896,368.31397,477.18668,368.3106,668.42526,406.65776,368.3011,570.0729,368.37187,409.191,739.8321,679.58564,855.77583,564.60917,489.02208,675.61376,577.4336,368.38746,1360.2529,1144.1323,907.2067,536.955,517.2883,670.9692,895.50275,413.68186,928.8646,396.00027,459.58522,368.61336,368.32434,368.32958,544.42626,443.4894,684.2591,401.82564,368.31206,784.20895,380.29686,548.96337,424.70646
2019-03-09,1050.3122,366.78916,366.84066,909.2452,1018.0231,367.26475,366.81646,824.8548,525.42394,881.5619,1158.1415,366.83297,366.81837,507.77143,366.84647,799.0367,400.29773,669.68024,1276.0007,366.79456,716.5244,366.78705,1044.7376,431.62835,366.79167,659.3323,366.84546,572.3289,1082.0985,1027.0921,899.3085,561.88524,571.33794,806.8419,688.07393,366.8548,1872.809,1324.108,1128.8282,799.75396,609.085,660.3192,1057.9226,505.34004,978.56456,390.12647,565.05084,374.23956,366.80377,366.80838,682.4427,646.16066,860.1487,499.06835,367.69146,1054.3598,376.57475,888.94105,458.5417
2019-03-10,948.14295,365.36938,365.4273,1115.1971,1393.2765,376.33416,365.4042,1029.8923,537.82463,910.4514,1362.6393,365.49166,365.63087,618.0448,365.42568,896.94625,509.001,826.7927,1360.861,365.38047,979.2643,365.38377,1373.6479,447.9763,365.39224,734.1788,365.42568,756.2993,1444.9993,1274.6062,844.6073,635.66893,674.03775,1004.4433,838.1404,365.42666,2410.0807,1483.8796,1290.8126,1185.6279,753.89504,612.78003,1187.4726,635.0592,998.0444,454.3202,601.05497,433.8025,365.39915,365.39915,694.8448,887.3719,864.5454,656.04544,413.12295,1407.4244,373.74935,1216.9378,486.16707
2019-03-11,811.05,364.0556,364.13607,1284.546,1688.6542,490.8919,364.08937,1265.9656,490.46504,891.0596,1644.3156,370.13474,370.37566,755.4581,364.11062,980.15004,649.80125,958.4821,1394.2908,364.07247,1166.3303,364.07107,1679.8779,508.79145,364.0877,829.82665,364.1177,871.00273,1739.9762,1443.0883,796.80336,828.74584,807.59186,1246.3555,1033.9884,364.1077,2752.2395,1480.3501,1255.5035,1651.2058,919.07996,614.5502,1222.8594,753.7227,1063.2173,836.7204,685.3464,572.5327,364.19997,364.09247,601.9252,1052.4321,752.30837,835.74337,649.6898,1727.3234,371.43067,1447.4038,508.7696
2019-03-12,704.0527,362.83627,363.49246,1421.1645,1927.3854,662.3448,362.84292,1429.6424,447.60814,844.7569,1913.0673,395.74185,393.24397,888.2471,362.88458,1062.585,746.52815,1023.8152,1213.3607,362.85537,1261.777,363.06205,2068.7783,608.8892,362.88148,998.63684,364.06046,875.24503,1975.0302,1553.0189,789.9148,1057.5541,942.73144,1499.5536,1265.6217,363.4706,2926.191,1383.5473,1187.9013,1981.7718,952.2025,656.10707,1133.4802,905.9962,1162.0281,1397.239,911.52954,754.75085,366.36728,362.86765,518.31293,1159.969,633.62795,1048.2695,1009.5322,1833.0729,369.42336,1635.4579,538.86145
2019-03-13,627.3431,361.70107,365.68686,1490.5064,2061.6686,737.37276,361.6608,1629.2983,424.98812,865.15355,2097.9984,410.35712,405.55525,951.75725,361.73016,1153.0355,802.1023,1008.4958,1034.7332,361.70787,1171.3465,394.71373,2293.629,709.0592,366.35187,1050.6015,411.24934,824.2981,2231.0958,1621.1631,890.9935,1274.2957,1095.9047,1758.406,1443.416,400.43813,3011.963,1375.8953,1151.4473,2385.439,812.13415,659.5321,1174.5365,1049.7566,1231.9771,1898.8497,1225.6998,971.9977,474.45357,361.72187,470.46855,1150.8281,625.8665,1281.6086,1309.2405,1871.4719,367.64708,1756.2108,645.0546
