Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-26,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648,7556.648
2019-02-27,12634.267,13835.345,12662.2505,13422.762,12771.728,18870.556,13223.601,19590.105,13048.602,12731.124,12328.98,12541.039,12213.735,12428.5965,12400.3,14790.992,13590.909,12658.043,14183.757,13354.698,12780.183,12763.2265,13289.216,15290.927,13597.798,13171.534,14941.911,13538.423,12506.687,12506.049,14199.113,14540.325,14415.817,14219.937,12261.915,12399.996,12383.373,12813.0245,12027.823,12791.056,14147.416,12286.826,12663.936,11857.578,14547.312,12908.568,13101.102,12017.76,14099.922,14065.575,19391.014,12873.46,12809.513,12954.444,16588.21,12385.608,16211.765,14332.163,12273.531
2019-02-28,13011.885,14658.232,11115.085,13183.569,12769.674,20583.525,14193.65,21037.449,12122.408,10833.574,10750.454,13180.098,10611.036,9851.647,10420.571,21242.659,14008.594,11526.826,14714.206,11318.702,11497.916,16040.165,15464.467,16816.77,11756.533,14677.784,22476.753,12708.105,11347.537,12713.045,19701.685,17061.48,14655.528,20506.99,10694.018,11937.6,11484.152,11453.759,10649.494,11235.011,14237.506,9097.766,10514.408,9241.602,18126.688,12718.852,13165.2565,13554.34,14281.494,17438.211,28938.19,11109.251,11860.604,14013.26,17181.782,13558.324,32299.763,15211.62,8750.807
2019-03-01,8728.891,8527.461,7458.6635,9533.647,9469.689,11617.459,8993.402,11152.936,8692.906,6884.904,7663.679,10452.064,7855.708,6384.8915,8461.981,12610.47,8957.379,7856.334,10090.216,9275.381,8513.967,11145.17,13224.864,11607.753,9173.435,11416.188,15953.703,8286.455,7579.2627,11781.901,16950.34,10801.759,9248.948,14838.474,7928.408,8262.726,8541.971,7212.5435,8519.925,7150.6686,8411.323,6461.5054,7143.035,6181.906,11438.178,7962.323,9452.749,11061.4395,9314.676,13365.583,15516.688,7236.2404,8004.897,9195.226,10567.346,12432.64,21652.906,10815.5775,6700.2554
2019-03-02,5855.544,5769.578,5145.777,6081.637,6141.211,7070.2443,6002.427,7027.616,5673.406,5249.4903,5280.5114,6759.427,5284.6775,4828.2323,5714.7503,7470.6306,5790.724,5574.506,6847.066,6063.653,5759.331,6744.641,8257.237,7468.857,6340.7865,7193.772,8914.847,5575.85,5246.277,7145.583,9115.754,6789.5026,6684.1455,8471.163,5414.3224,5889.032,5707.7127,5193.1677,5887.223,5106.5764,5825.6483,4652.146,5170.582,4629.6625,7104.617,5512.259,6073.2913,6695.8947,6076.6797,8334.123,8533.989,5064.487,5452.9204,5818.716,6656.7745,7926.098,9745.62,6766.543,5008.0776
2019-03-03,4858.7584,4564.0545,4236.2285,4676.7516,4911.9954,5541.933,4702.0874,5428.2713,4483.851,4832.372,4262.314,5059.302,4465.58,4350.6117,6004.221,5939.8227,5012.908,4464.201,5356.4224,10120.289,4677.513,5184.78,7343.724,5553.785,5669.734,6861.5565,6550.951,4617.4455,5596.7445,5584.9376,6889.094,5368.609,6431.257,7112.8845,4652.035,4831.365,4567.125,4371.5153,5030.7364,5829.9694,6735.0287,5156.953,5129.6926,4158.0286,5399.011,6417.3074,5097.2295,7133.0495,5333.46,6775.454,6183.1746,4866.4823,4448.9465,4593.6065,5862.907,6747.7283,7192.2393,5385.444,4867.829
2019-03-04,4750.402,4468.004,4026.8598,4055.7485,5192.8906,4950.916,4142.093,6498.8723,4224.8783,6190.7597,3857.8322,4468.1296,5987.1798,4573.538,8490.39,7003.8624,5223.014,3937.7995,5007.4663,12899.0135,4941.937,6606.0233,17939.812,6476.4347,5336.7777,9092.545,5997.968,5510.696,9745.978,6882.989,6743.394,5279.3126,8326.059,10605.813,5377.6217,4922.164,4396.407,6462.8644,4455.186,7319.479,11855.562,11680.641,5847.352,7112.9446,4644.891,13106.781,6285.1768,10734.855,6886.8732,12241.487,7290.389,4846.9734,4236.6686,4636.7264,6602.156,5435.5187,9242.713,4928.3557,6200.994
2019-03-05,4173.3294,5993.4435,3774.4124,3652.5724,4343.6356,4317.2207,4861.65,10238.825,4052.6357,4513.182,4813.465,3934.806,5821.8966,4322.205,5682.296,5290.1454,4386.427,3489.7814,4420.2747,6996.3355,4845.768,7648.269,20707.926,8096.822,4353.204,6048.3227,5529.414,4631.1274,9821.941,5637.3987,6034.6775,7912.2963,8536.2215,11128.288,4765.2416,4442.2183,4017.9014,6818.932,4224.953,5153.1863,8712.694,13747.086,4505.0683,6520.21,4349.419,10190.437,5661.3812,7423.1586,6592.0725,11001.751,9124.682,6388.126,3667.3658,6583.677,4796.2213,4980.1517,8500.478,4300.5395,4272.12
2019-03-06,5877.9917,4896.786,3769.4905,3428.2901,3861.5973,3800.5924,4897.0346,12157.503,3753.033,3858.736,8525.728,5111.5446,7096.0126,3479.9867,4347.542,4530.055,4909.443,3210.9802,3941.3586,5174.911,4935.148,5719.312,11285.869,5604.626,4233.2253,4815.7263,4426.61,3844.0325,9278.8925,7088.803,5291.731,6502.513,5712.3966,9423.982,4035.1787,3931.7498,3688.6075,10492.753,3996.4583,7015.764,7897.019,11445.498,4456.2287,4890.8267,5257.7014,6343.785,7736.2227,5041.7275,5003.5076,7203.9785,6614.7904,7548.9836,3565.2723,4772.2077,3977.3848,5000.8125,7253.2487,4459.32,3570.1528
2019-03-07,7071.0306,3951.6242,3575.3272,3551.7583,3538.0335,3441.9122,5128.5057,13935.731,4302.8946,3479.7263,19606.264,9103.676,11342.029,3427.2032,5355.913,6097.635,8258.592,2995.4329,5955.2455,5737.8364,3999.2423,4431.804,8457.6235,5434.343,4718.1325,5762.9704,3787.3712,3596.2667,8584.464,8663.696,7328.619,4635.462,4568.319,10237.46,4771.7695,3334.2724,4816.6103,9982.735,5310.7147,11826.281,5764.3127,8009.406,10352.268,4753.255,5432.1265,5645.343,10599.582,4889.213,5593.63,5795.7377,9686.387,5893.6076,6402.6923,4464.0517,3692.1856,5015.415,9988.623,4250.0744,3266.3891
