Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-26,2464.7338,2464.7315,2464.7324,2464.7324,2464.735,2464.735,2464.7324,2464.7324,2464.7324,2464.7324,2464.7324,2464.7338,2464.7338,2464.7338,2464.7312,2464.7298,2464.7338,2464.7312,2464.7324,2464.7324,2464.7338,2464.7338,2464.7338,2464.7312,2464.7338,2464.7338,2464.7336,2464.7312,2464.7338,2464.7324,2464.7324,2464.7315,2464.7324,2464.7338,2464.7324,2464.7324,2464.7338,2464.7324,2464.7324,2464.7312,2464.7324,2464.7338,2464.7324,2464.7338,2464.7338,2464.7338,2464.7362,2464.735,2464.735,2464.7324,2464.7362,2464.7338,2464.7312,2464.7324,2464.7324,2464.7324,2464.7338,2464.7312,2464.7338
2019-02-27,2893.4062,2875.2038,2787.6236,2641.5627,2662.6,3555.7926,2777.7085,3379.7688,2620.8148,2843.4675,2748.8263,2942.8675,2665.1525,2580.666,2397.9037,3387.8524,2363.225,2577.1663,2490.084,2842.665,2603.311,3144.67,2667.2237,3092.6375,3029.5277,3560.7562,3535.2776,2812.5463,2424.8626,2732.1498,2679.425,2596.9276,3128.0277,3183.2728,2634.6786,2624.9862,2896.7302,2456.96,2500.4177,2396.3337,2365.0103,2714.355,2538.8427,2514.2624,3217.6223,2291.4875,2697.84,2716.1148,2840.5023,3377.4624,3607.0414,2687.1738,2767.8764,2569.3161,2779.7787,2505.4662,2682.885,3007.6525,2506.954
2019-02-28,2064.5676,2070.315,1854.82,2001.284,2011.6875,2095.6001,1992.5649,1945.3387,1938.5101,1994.6313,1887.77,2314.18,1941.785,1823.9763,1755.06,2538.2862,1873.1138,1976.9487,2069.3836,1770.8,2033.3388,2752.8775,2735.0051,2124.7363,2053.9737,2337.0914,2950.8586,2195.3826,1862.6825,2296.0887,2423.3837,1785.7525,1923.2249,2188.1638,1806.7275,1804.8949,2490.104,1793.8163,2008.5626,1833.7026,1939.2375,2037.67,2193.3012,1737.4212,2087.61,1969.3376,2193.9564,2551.2815,1950.5813,2279.3863,2506.9263,1989.0038,1966.1037,1939.9513,2133.6825,2519.7525,2919.7338,1947.3712,2116.3461
2019-03-01,1801.2538,1795.3424,1660.3812,1911.9525,1755.8025,1695.9038,1675.0901,1840.1138,1584.2286,1885.0551,1581.205,1997.7237,1523.5538,1638.5088,1576.9501,2041.0874,1635.38,1757.8437,1930.2512,1664.8175,2341.9602,1899.33,1879.9425,1764.5575,1884.9099,2035.055,1987.5051,1773.6726,1579.215,1584.7462,1983.6675,1644.8876,1805.1175,1886.1061,1630.6037,1642.3525,2419.9586,1639.7713,1828.9901,1623.8588,1763.6038,1944.0538,2054.05,1471.4488,1849.9037,1781.9813,1726.11,2105.2825,1651.2911,1934.3475,2083.8614,1671.8825,1860.1776,1676.2849,1615.8463,2068.3799,1932.6713,1573.8263,1956.9476
2019-03-02,1597.5401,1557.11,1520.7763,1693.3075,1606.6124,1519.9187,1522.2113,1604.2,1472.1487,1671.895,1474.455,1689.7663,1499.1275,1537.6,1503.7189,1678.83,1519.9175,1693.8739,1775.6913,1480.2451,1687.2262,1583.9587,1653.445,1574.4562,1721.4887,1704.3363,2011.5187,1566.5786,1499.3662,1487.6288,1741.4874,1534.9026,1673.8638,1623.965,1528.2125,1582.025,2161.9463,1556.4125,1720.3425,1682.7012,1599.29,1715.4624,1793.7587,1454.6226,1689.9937,1642.705,1530.1076,1738.5162,1545.7251,1620.5938,1672.2175,1551.3988,1598.8187,1515.0262,1596.7886,1683.5189,1628.0212,1455.59,1652.19
2019-03-03,1795.2037,1498.5776,1445.455,1598.3325,1560.6363,1593.2988,1446.595,1599.8113,1472.4412,1731.385,1499.6475,1549.5062,1954.6525,1655.3074,1932.0362,1565.1537,1619.8651,1713.6863,1717.5175,1649.0762,1518.0875,1514.2287,2124.381,1488.7925,1554.9026,1809.1037,1632.2963,1784.18,1697.8288,1690.2099,1902.835,1585.595,1722.8762,1660.4613,1671.4863,1451.8588,2038.7287,1615.7738,1885.0576,1587.0526,2090.6274,2001.8713,1761.8712,1651.0062,1710.02,2132.5562,1472.765,1960.9975,1721.2738,1782.6937,1677.65,1566.85,1555.865,1620.6213,1533.7075,1608.7137,1522.7387,1671.2012,1902.7075
2019-03-04,1948.97,1917.3087,1415.0825,1565.7426,1570.3412,1441.0663,1465.6875,2050.3976,1578.8913,1741.1076,1874.815,1580.8475,1611.0986,1542.6198,1490.0162,1636.8074,1420.0138,1586.4612,1786.1274,1514.6388,1491.28,1554.325,2141.2125,1748.7361,1439.87,1747.1013,1539.8839,1540.7975,1720.0413,1659.5125,1869.5225,1849.5911,1785.2638,1726.7288,1621.4676,1534.0363,2063.7064,1663.3701,1823.5724,1411.9937,1376.2062,2624.0585,1917.7363,1558.0474,1834.3738,1882.2825,1685.0861,1838.835,1617.1062,1664.7401,1735.515,1602.5,1589.8714,1700.1075,1419.5288,1667.4075,1745.6299,1637.7587,1703.585
2019-03-05,2114.7463,1845.0913,1713.3113,1638.0563,1652.9099,1412.5212,1618.1889,2267.9074,1506.3925,1891.5038,1783.5175,1591.305,1329.1937,1534.53,1372.9324,1759.8637,1396.5751,1540.6,1884.4012,1390.5463,1497.6214,1535.5988,1877.39,1670.3663,1371.6675,1776.4475,1394.5525,1443.7836,2033.8724,1615.5038,2100.4786,1906.4963,1615.8276,2009.63,1630.7662,1552.3988,2141.7062,1927.2187,2111.77,1569.83,2027.3561,2866.8985,1992.8999,1574.3288,1950.1237,1669.4188,1689.0438,1567.1012,1545.7076,1758.2762,1596.2362,1446.955,1694.1124,1568.3386,1530.2225,1732.0213,1530.83,1664.7588,1659.9562
2019-03-06,3342.2499,1723.0862,1785.9488,1684.0537,1694.9825,1363.3925,2108.29,2814.6026,1791.7887,1840.9487,1948.93,1945.8836,1573.0525,1565.0874,1557.1463,1733.7126,1506.8526,1543.5175,2145.8824,1582.7075,1487.56,1490.4736,2305.5274,1660.765,1555.5087,1818.6512,1376.5339,1518.6188,2558.7912,1907.5487,2266.9888,1911.1712,1604.8801,2153.8801,1720.8338,1584.4375,2319.39,2301.1513,2389.2426,2263.5925,1799.4814,3123.295,2081.315,1568.63,2120.03,1743.7099,2065.64,1614.355,1554.5237,1493.8912,2052.6786,1506.7887,1861.2225,1571.5287,1666.4563,1897.9188,1519.6989,1720.5399,1712.6275
2019-03-07,3423.5513,1999.4287,1587.5612,1799.2837,1971.9837,1346.9626,1830.1487,2911.2725,1889.67,1902.5488,4198.821,1454.44,1806.395,1799.0376,1575.7313,1837.4763,2626.015,1635.8501,2656.0824,1568.0676,1816.8625,1433.5938,2521.9223,1935.7387,2077.7562,2054.2161,1403.8851,1734.4738,2558.201,2122.69,2370.1386,1736.37,1721.8362,2437.0737,1794.4638,1553.7337,3050.7312,2446.425,2718.8673,2454.216,1695.8162,2716.6052,2309.8876,1542.2425,2167.0961,1653.9513,1978.8787,1765.1825,1397.6237,1410.16,2240.0312,1675.7725,2751.0076,1982.9738,1657.9576,2069.6425,1744.0076,1731.455,1674.5688
2019-03-08,2818.0437,1681.7313,1454.6288,1994.3612,2717.465,1555.3112,1369.7563,3201.5724,1932.9587,2085.6688,5311.635,1416.2637,1914.5725,1901.0738,1517.7588,2111.325,2645.8724,1823.4413,3091.2788,1414.2737,2827.9438,1520.5563,2577.7214,2389.2713,2010.7088,2720.3977,1315.5189,1997.905,3422.5764,2418.6037,2470.5098,1870.7062,1825.1711,2340.71,1900.1175,1634.5799,5621.3923,2441.7584,2822.034,2654.3624,2205.5562,2257.11,2682.6587,1631.8563,2429.7085,1605.6637,1863.5162,1867.5025,1630.5088,1404.89,1771.4212,2071.8236,2670.6886,1959.8113,1675.8163,2282.5675,1815.06,2203.1875,1673.9988
2019-03-09,2554.2502,1702.1437,1347.4563,2181.7474,3974.985,1852.6213,1321.3849,3036.6535,1592.2313,2166.035,5338.478,1574.7588,1867.8949,1885.1125,1320.2475,2260.774,2438.7398,1976.0725,2704.2663,1345.4512,2803.0713,1540.0399,2856.15,1970.36,1428.4188,3230.5374,1513.9512,2334.0685,4717.294,2641.62,2377.9747,1854.0475,2040.3962,2591.4762,1972.4275,1323.0788,5946.165,2575.735,2633.6448,3228.4966,2197.3326,2126.2898,2574.7364,1722.5238,2449.09,2054.4562,1914.245,1785.6476,1459.8724,1507.6237,1983.015,2255.05,2187.68,1827.7775,1900.4012,2489.8415,1735.9375,2568.0025,1705.6538
