Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-26,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766,6023.4766
2019-02-27,7602.331,7736.458,7401.7444,7395.3924,7382.7577,8102.592,7620.3775,9206.264,7834.4893,7081.893,7135.334,7305.578,7025.5055,7649.0307,7405.2033,7806.374,7609.4813,7150.607,7514.2636,7629.4475,7270.814,7269.933,8357.002,8545.49,7922.873,7554.451,8376.301,7757.4306,7277.6556,7627.623,7602.31,7722.759,8259.026,7823.01,7320.94,7183.7673,8042.089,7659.9364,8033.618,7699.3203,7241.839,7496.0556,7679.2994,7092.6604,8060.086,7107.7657,7472.8622,7467.974,7956.744,7925.759,7803.7953,7264.1063,7738.1544,7536.131,8761.838,7660.9855,7607.8587,8454.732,6994.6494
2019-02-28,8624.994,8500.927,6828.6347,7098.82,6140.447,11520.6585,9398.495,11487.498,7865.3507,5560.9107,7033.4554,8692.375,6155.562,8807.587,7487.9184,14148.558,9488.155,5612.7863,7663.496,7456.758,5039.353,9181.647,13296.227,10914.337,8265.705,10172.244,10783.171,6044.84,6688.1046,6327.474,8718.675,9456.39,11003.181,12281.6925,7128.9606,7000.5875,9890.466,8134.155,8773.331,6952.908,6715.0955,7394.447,8103.928,5734.154,12183.532,5952.3716,7890.5516,9733.265,8029.559,10928.092,11200.974,5634.5315,8005.862,6431.3087,11986.974,6519.361,13540.763,10232.944,4548.325
2019-03-01,5116.439,4776.2074,4412.8814,4457.0503,4423.8377,6358.0623,5503.5524,6401.6795,4914.4998,4312.994,4618.6943,6158.8264,4100.882,5518.0755,4621.907,7836.3075,5474.777,4249.6147,5058.008,5012.657,3979.9764,5647.9425,10426.214,5948.9837,5072.0415,6714.204,7737.656,4707.093,4899.569,4387.0754,6296.2785,5454.8645,6148.1757,7759.532,5373.7516,5008.463,6247.2544,4795.383,5535.1458,4769.805,4889.269,4894.7215,5642.836,3812.0494,7268.459,4329.059,4699.1687,6485.605,5140.1086,6537.573,7110.5676,4226.097,5071.013,5040.6146,6379.95,4818.1577,9017.415,6442.622,3811.8565
2019-03-02,3811.4944,3624.2144,3525.0783,3489.6355,3547.9548,4042.4895,3818.0988,4247.1232,3670.2955,3504.2813,3532.669,3976.3603,3331.7688,3860.5149,3536.8817,4508.4457,3801.4164,3438.814,3838.4714,3605.9036,3303.1547,3795.5444,5413.8756,4095.5005,3687.908,4219.554,4401.8826,3491.9052,3614.881,3472.4748,4071.114,3859.1368,4076.7593,4369.3933,3701.4008,3834.5735,4169.3196,3807.9515,4301.4293,3665.78,4038.854,3609.4604,4106.854,3367.0769,4557.107,3513.3538,3571.999,3972.7082,3847.0964,4157.96,4197.8607,3356.175,3763.545,3623.6393,4158.7844,3614.7442,4631.0105,4038.0263,3219.2514
2019-03-03,3736.383,3331.9883,3237.465,3218.1253,3510.9348,3688.0503,3643.7132,4123.541,3498.2593,3471.0703,3385.6146,3794.3518,3232.3084,3687.55,3619.9033,4315.7,3486.414,3301.828,3698.7565,3485.35,3112.6323,3476.254,5021.92,3777.303,3377.3334,4352.7308,3898.1748,3277.7848,3676.8453,3246.0558,3910.6607,3709.573,3936.3813,4553.312,3693.423,3576.485,4144.4616,3803.8998,3728.0788,3462.9514,4192.2584,3791.3737,3848.0377,3131.9242,4662.4737,3638.758,3366.437,4128.642,3713.3393,4322.7797,3967.642,3092.3064,3542.088,3570.1778,4107.7657,3529.1302,3985.1394,3633.3354,3325.172
2019-03-04,4897.759,3161.424,3018.6825,3272.3825,3695.5469,3794.9765,3721.8251,6129.8976,3674.3908,3541.2414,3254.4615,3668.0665,4995.535,3856.102,4725.3847,4255.446,3799.2797,3063.0965,4010.607,5627.748,3005.9943,4274.7164,10959.725,5300.178,3371.9552,5232.9893,3973.2919,3687.33,4491.9863,5296.5117,3818.2175,3903.998,5543.4923,7197.972,3976.1465,3283.124,4712.791,5940.28,3894.058,3431.2594,7133.708,7709.231,4534.9507,4574.6856,5130.394,7191.981,3830.9412,6323.4997,3658.6645,8889.114,5619.9455,3028.324,3486.0525,3969.4796,4718.4443,3748.1165,5080.9174,3746.5518,3583.9565
2019-03-05,4741.87,4278.456,2898.949,3541.949,3779.559,3916.8942,4923.493,8829.432,3985.3141,3620.4329,3477.559,3276.4876,4081.3007,4466.7053,3546.3169,4372.6525,3298.5008,2961.1237,4255.9743,4052.81,2897.3358,4358.3317,12753.426,5877.2116,3979.0568,4395.541,3643.4264,3820.138,4542.1405,5238.356,4803.954,5811.582,5687.1867,6221.169,3799.279,3792.563,4863.628,5694.5415,4123.8837,3298.6133,6595.1414,10651.864,4648.0665,4359.8685,5026.98,6217.125,4592.8106,4640.946,3728.6224,7860.0583,5890.0356,3111.1736,3581.514,4116.7054,4176.034,4218.462,5428.8263,4058.0187,3053.2422
2019-03-06,5189.976,3235.9226,2727.0727,3647.9204,3726.033,3429.019,3616.873,8181.817,3718.3955,3546.9503,3616.5555,3471.9152,3388.1915,3649.3034,3578.7394,4358.5467,3021.1575,2900.0993,3844.2817,3873.8532,2757.5428,3388.6437,9272.094,4115.803,3794.1089,4245.8553,3297.1418,3592.474,4414.7687,5097.918,4104.724,4403.014,4379.051,5851.7528,3673.4614,3351.6655,4481.9365,8965.335,4514.53,3815.0203,5829.4992,8406.471,4676.2075,3921.2062,6117.7297,4328.3105,4565.05,3950.5305,3244.0434,4802.7616,5360.81,3461.683,3646.54,3759.849,3803.8986,4211.133,3697.8264,4378.9687,3051.1165
2019-03-07,5085.947,2946.7769,2507.24,3692.0063,3694.7408,3582.61,3179.6434,11046.75,3662.231,3383.8813,6144.8092,3678.318,3282.9545,3690.389,3929.9264,4511.055,4838.1767,3009.6672,6197.104,4112.6757,3399.0219,3315.5158,8640.458,4114.456,3995.9455,3498.4312,3269.7065,3586.799,5105.5713,6123.3373,3748.1458,3830.3273,4256.604,6272.624,3728.7765,2912.941,4641.1133,8205.684,5652.4634,5882.785,4702.9004,5117.4216,8711.436,4334.506,5907.7363,4415.8955,4019.719,4278.073,2960.3198,3982.6467,6490.301,4404.4657,5193.5973,3668.8533,4440.971,4197.1564,3497.6308,4028.3613,3143.825
