Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-26,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496,363.60496
2019-02-27,689.03625,482.35127,542.92375,557.44624,497.52754,601.32253,570.97626,930.47374,581.07746,564.5988,520.94877,628.93254,560.9925,575.34254,485.0325,731.81874,486.32374,536.4138,472.5225,579.38504,596.9475,620.29254,633.06135,681.41246,706.55996,644.0763,668.9175,576.3913,485.09756,589.16754,614.53754,631.6425,631.11997,650.6188,606.2412,540.8188,612.92624,599.54256,553.2588,685.1912,578.57996,558.9475,706.89875,472.61,670.8526,591.37,547.6575,548.595,627.37125,637.6637,900.8925,628.55875,546.8138,472.7175,641.42627,541.905,798.0862,618.1737,516.3987
2019-02-28,797.19496,344.44878,477.99626,601.6413,337.2663,533.61505,685.70507,904.6963,441.54748,466.8763,426.99504,799.7875,577.56877,438.9312,347.31746,1058.555,359.50503,481.26376,321.605,468.87752,643.79996,680.9575,786.0825,913.9463,710.97624,638.43375,785.54624,465.84257,352.26,534.68,992.4737,714.5188,699.3137,1074.0463,537.745,440.6325,728.69253,591.38125,478.42005,729.23625,524.91504,444.25,651.01135,320.9512,839.47,633.62,472.74,570.6838,547.2,891.4463,1652.9399,654.93125,509.0237,319.3575,669.32,665.78126,1279.1088,643.2362,398.50003
2019-03-01,454.1213,318.9662,356.3138,477.26378,321.6063,417.38003,481.77376,478.35627,347.5475,359.85747,349.565,549.9838,386.01005,346.5663,311.86503,540.8488,337.3975,364.12245,312.6375,402.18002,410.83002,436.32376,616.68754,598.85246,489.16006,468.4625,663.0662,362.31008,324.97382,421.00632,804.46625,440.05373,437.9625,743.7525,412.69383,357.48377,441.78,400.44004,423.2875,452.8975,381.37254,357.59878,408.17875,311.2362,469.88878,472.8175,377.00745,498.94124,416.75752,744.86125,963.13125,422.35374,439.4163,308.37753,419.97376,558.1875,795.41,445.4438,351.53747
2019-03-02,395.11004,305.3112,330.94123,380.94255,308.21002,373.06252,389.95376,436.58748,332.75,342.55368,329.2388,419.12502,348.63004,328.33502,296.425,440.85,323.3,340.64248,299.91502,359.66626,365.91998,386.53624,435.37,447.9963,412.75632,396.82248,455.8875,345.48748,311.08883,366.47758,486.33003,384.66373,386.71875,477.08005,364.83127,335.855,393.54876,375.34627,366.34377,394.59744,354.5588,339.2038,377.57006,299.26124,401.98752,385.20375,350.54123,380.85753,368.15625,471.95998,573.93247,376.95625,369.19498,298.18,384.03374,411.6612,519.37,382.84877,341.6675
2019-03-03,373.3326,289.83253,313.25373,358.4588,292.55256,353.93378,368.79995,411.45122,316.3975,324.92253,312.07502,394.25623,331.7175,312.63623,283.99253,417.63002,306.4675,322.59372,284.77255,339.7725,346.79,365.62625,420.98874,423.56,388.61373,377.6775,418.73884,328.7313,296.65002,346.2663,451.8613,364.28496,369.85627,521.5762,345.48,317.72882,374.55127,375.89505,365.5575,373.54377,396.18504,394.61374,356.5963,284.93375,380.01004,373.24378,333.9175,360.44875,350.0663,543.085,529.70123,356.98,350.085,286.08125,417.50622,386.21506,478.91247,362.04126,325.29882
2019-03-04,353.14247,303.15372,296.8887,340.54878,278.75754,340.22,355.2638,455.4225,306.51122,312.2562,296.55376,372.68746,323.01375,303.0362,280.59754,400.03502,290.79625,305.51124,271.60874,324.7363,330.54882,350.36874,734.3025,481.17244,368.47627,361.09626,396.67505,322.97,344.51246,336.5613,437.525,354.93627,388.66377,684.4438,327.86632,301.35003,355.99747,479.69127,360.97127,356.60997,514.38004,955.6101,338.2125,319.39003,362.88127,493.945,327.295,351.93127,337.71378,751.82253,562.0638,339.09747,334.9413,276.11256,506.78873,375.64,461.86,438.37124,308.72372
2019-03-05,334.9688,369.20378,281.85004,328.0888,268.19754,326.9137,344.2863,475.06878,303.97624,303.94125,286.83755,353.0463,315.7925,292.09873,276.11625,383.39254,276.12874,289.96003,262.32377,313.46002,319.40252,344.26123,882.895,501.93256,352.46378,349.1875,382.08744,323.6525,448.6125,339.14998,428.8963,443.2025,383.82375,534.98626,311.3462,287.77125,345.2563,411.89754,338.8038,340.48,439.66132,1216.3363,324.24882,344.3875,349.16127,424.77125,330.5688,344.9438,323.0425,541.785,576.875,327.5588,318.92002,265.37624,437.80124,366.48497,451.40627,467.02498,296.6912
2019-03-06,378.31375,306.37002,268.60875,316.13627,259.80377,311.5387,379.64004,499.17254,296.99752,291.49625,314.4837,339.21,327.9112,277.77255,270.31755,366.40877,262.46247,275.67375,259.48995,307.085,307.39632,333.86,528.69004,413.0887,344.13502,339.71497,365.57877,319.09,487.99753,344.5913,415.38373,379.87244,356.38502,490.53127,295.88374,274.90124,334.7038,767.7387,330.595,514.75626,476.62377,735.49503,313.4788,293.03,346.53127,380.5775,389.04375,333.2163,306.0287,461.385,769.78374,326.69002,311.6362,254.0438,393.55743,353.39245,429.3325,371.68625,291.21754
2019-03-07,364.74758,286.88255,255.73498,305.36252,252.36997,297.69373,398.24504,1026.3637,286.14876,278.34755,671.145,410.03373,348.88747,264.1925,267.03626,352.36248,304.55372,262.41127,298.87873,302.55502,296.11504,320.56,480.74377,395.72123,339.86497,332.05,346.24878,313.63,433.77882,354.33248,398.61754,347.44498,344.06748,505.4175,282.47124,262.16248,327.2213,709.52743,349.14878,541.45753,417.8737,518.13376,442.005,281.05253,352.83378,370.84746,410.8062,324.0688,291.42624,434.0488,1138.5976,330.095,317.1613,244.54878,378.50875,341.6675,410.20623,355.08245,280.61873
