"","scen","Accretion","Wyear","Flow"
"1","Alt_4","I1",1981,1496.4947870659
"2","Alt_4","I1",1982,1428.55447201881
"3","Alt_4","I1",1983,816.647177663671
"4","Alt_4","I1",1984,1320.11442471428
"5","Alt_4","I1",1985,1420.35436799624
"6","Alt_4","I1",1986,1218.0818790584
"7","Alt_4","I1",1987,2095.29050224213
"8","Alt_4","I1",1988,1219.78685688763
"9","Alt_4","I1",1989,1670.40515695999
"10","Alt_4","I1",1990,967.597058740085
"11","Alt_4","I1",1991,1464.89858839674
"12","Alt_4","I1",1992,1335.4082165929
"13","Alt_4","I1",1993,1214.2874472494
"14","Alt_4","I1",1994,857.093716056093
"15","Alt_4","I1",1995,1127.69908875621
"16","Alt_4","I1",1996,1554.77785762045
"17","Alt_4","I1",1997,1412.75184656567
"18","Alt_4","I1",1998,2746.15704517198
"19","Alt_4","I1",1999,2437.6606234959
"20","Alt_4","I1",2000,1492.40600351121
"21","Alt_4","I1",2001,1644.77604217949
"22","Alt_4","I1",2002,1341.42609768674
"23","Alt_4","I1",2003,2738.99478049111
"24","Alt_4","I1",2004,2433.86095250296
"25","Alt_4","I1",2005,1862.06442784203
"26","Alt_4","I1",2006,1208.5600579728
"27","Alt_4","I1",2007,1234.2386184101
"28","Alt_4","I1",2008,1208.43801863461
"29","Alt_4","I1",2009,1117.6615439513
"30","Alt_4","I1",2010,1394.59328296805
"31","Alt_4","I1",2011,1562.15190311992
"32","Alt_4","I1",2012,1383.67479688303
"33","Alt_4","I1",2013,1334.58483896806
"34","Alt_4","I1",2014,1206.68862375005
"35","Alt_4","I1",2015,1141.03309928002
"36","Alt_4","I1",2016,1948.82915462125
"37","Alt_4","I1",2017,1262.5193736007
"38","Alt_4","I1",2018,1219.43055811403
"39","Alt_4","I1",2019,1129.67919129807
"40","Alt_4","I1",2020,1907.33238249438
"41","Alt_4","I15",1981,517.803973300275
"42","Alt_4","I15",1982,400.181237497022
"43","Alt_4","I15",1983,295.495769523224
"44","Alt_4","I15",1984,467.049166674243
"45","Alt_4","I15",1985,397.884140793049
"46","Alt_4","I15",1986,400.084182683854
"47","Alt_4","I15",1987,488.971201599497
"48","Alt_4","I15",1988,382.618920917239
"49","Alt_4","I15",1989,489.500501406466
"50","Alt_4","I15",1990,320.171182449731
"51","Alt_4","I15",1991,428.592533560781
"52","Alt_4","I15",1992,350.492874095165
"53","Alt_4","I15",1993,353.307211830478
"54","Alt_4","I15",1994,310.130952601428
"55","Alt_4","I15",1995,366.425922789037
"56","Alt_4","I15",1996,368.900213820026
"57","Alt_4","I15",1997,395.754445009686
"58","Alt_4","I15",1998,645.347760698364
"59","Alt_4","I15",1999,613.789147657213
"60","Alt_4","I15",2000,516.389208343148
"61","Alt_4","I15",2001,481.990069275634
"62","Alt_4","I15",2002,429.105887269977
"63","Alt_4","I15",2003,643.6646262888
"64","Alt_4","I15",2004,612.832412018001
"65","Alt_4","I15",2005,446.537150447355
"66","Alt_4","I15",2006,435.798231277906
"67","Alt_4","I15",2007,405.390932541412
"68","Alt_4","I15",2008,351.605271062771
"69","Alt_4","I15",2009,377.843393323688
"70","Alt_4","I15",2010,516.670012761446
"71","Alt_4","I15",2011,370.649844442679
"72","Alt_4","I15",2012,451.728851379069
"73","Alt_4","I15",2013,472.168719061021
"74","Alt_4","I15",2014,435.123405326823
"75","Alt_4","I15",2015,370.758574252653
"76","Alt_4","I15",2016,484.559855979867
"77","Alt_4","I15",2017,399.87767356306
