Date,I1,I15,I91
10/1/1980,2.061,0.705,0.474
10/2/1980,1.975,0.717,0.472
10/3/1980,1.776,0.716,0.466
10/4/1980,1.495,0.707,0.407
10/5/1980,2.061,0.705,0.474
10/6/1980,1.975,0.717,0.472
10/7/1980,1.776,0.716,0.466
10/8/1980,1.495,0.707,0.407
10/9/1980,1.849,0.695,0.335
10/10/1980,1.941,0.688,0.276
10/11/1980,1.854,0.698,0.266
10/12/1980,1.795,0.685,0.23
10/13/1980,2.108,0.656,0.161
10/14/1980,2.934,0.646,0.153
10/15/1980,1.531,0.639,0.165
10/16/1980,0.919,0.603,0.165
10/17/1980,1.516,0.728,0.28
10/18/1980,1.954,0.768,0.42
10/19/1980,2.829,0.768,0.498
10/20/1980,2.887,0.725,0.417
10/21/1980,2.435,0.656,0.377
10/22/1980,2.119,0.725,0.345
10/23/1980,2.179,0.714,0.317
10/24/1980,2.25,0.656,0.262
10/25/1980,2.18,0.637,0.365
10/26/1980,2.159,0.624,0.3
10/27/1980,2.379,0.624,0.232
10/28/1980,2.555,0.637,0.196
10/29/1980,2.398,0.652,0.188
10/30/1980,2.573,0.652,0.19
10/31/1980,2.393,0.652,0.194
11/1/1980,2.685,0.652,0.177
11/2/1980,2.496,0.652,0.177
11/3/1980,2.356,0.649,0.175
11/4/1980,2.356,0.648,0.173
11/5/1980,1.916,0.648,0.179
11/6/1980,2.016,0.649,0.177
11/7/1980,2.582,0.649,0.169
11/8/1980,2.636,0.694,0.165
11/9/1980,2.588,0.694,0.165
11/10/1980,2.56,0.694,0.159
11/11/1980,2.427,0.685,0.141
11/12/1980,2.743,0.724,0.167
11/13/1980,3.53,0.781,0.167
11/14/1980,3.548,0.694,0.165
11/15/1980,3.898,0.685,0.161
11/16/1980,3.3,0.658,0.165
11/17/1980,3.29,0.643,0.167
11/18/1980,3.002,0.639,0.155
11/19/1980,2.948,0.639,0.159
11/20/1980,2.919,0.639,0.161
11/21/1980,2.765,0.639,0.159
11/22/1980,2.619,0.639,0.157
11/23/1980,2.81,0.654,0.159
11/24/1980,2.654,0.664,0.161
11/25/1980,2.676,0.734,0.159
11/26/1980,2.214,0.742,0.163
11/27/1980,3.367,0.814,0.165
11/28/1980,3.631,0.742,0.171
11/29/1980,3.551,0.814,0.167
11/30/1980,3.388,0.814,0.165
12/1/1980,3.547,0.825,0.167
12/2/1980,3.513,0.865,0.165
12/3/1980,2.547,0.865,0.159
12/4/1980,2.298,0.843,0.161
12/5/1980,3.155,0.843,0.167
12/6/1980,2.849,0.924,0.167
12/7/1980,3.234,1.236,0.266
12/8/1980,4.103,1.608,0.341
12/9/1980,5.869,1.608,0.339
12/10/1980,5.359,1.199,0.309
12/11/1980,5.64,0.864,0.256
12/12/1980,5.873,0.828,0.19
12/13/1980,4.484,0.768,0.175
12/14/1980,4.074,0.768,0.222
12/15/1980,4.002,0.78,0.214
12/16/1980,3.775,0.842,0.202
12/17/1980,3.564,0.884,0.182
12/18/1980,3.429,0.884,0.169
12/19/1980,3.49,0.884,0.151
12/20/1980,3.398,0.909,0.155
12/21/1980,3.782,0.909,0.161
12/22/1980,3.645,0.726,0.184
12/23/1980,3.366,0.651,0.194
12/24/1980,3.051,0.651,0.192
12/25/1980,3.189,0.786,0.192
12/26/1980,2.835,0.896,0.198
12/27/1980,2.696,0.896,0.206
12/28/1980,2.89,0.895,0.204
12/29/1980,3.02,0.895,0.206
12/30/1980,3.444,0.955,0.222
12/31/1980,3.779,1.06,0.23
1/1/1981,3.851,1.06,0.23
1/2/1981,4.236,1.056,0.226
1/3/1981,4.04,0.961,0.22
1/4/1981,4.059,0.873,0.206
1/5/1981,4.076,0.801,0.198
1/6/1981,3.982,0.801,0.198
1/7/1981,3.878,0.801,0.192
1/8/1981,3.776,0.801,0.194
1/9/1981,3.881,0.783,0.19
1/10/1981,3.794,0.78,0.19
1/11/1981,3.865,0.695,0.19
1/12/1981,3.071,0.695,0.184
1/13/1981,3.302,0.733,0.186
1/14/1981,3.456,0.733,0.182
1/15/1981,3.582,0.702,0.184
1/16/1981,3.356,0.683,0.184
1/17/1981,3.408,0.702,0.175
1/18/1981,3.403,0.718,0.169
1/19/1981,3.04,0.766,0.165
1/20/1981,3.144,0.77,0.165
1/21/1981,3.207,0.77,0.175
1/22/1981,2.714,0.77,0.175
1/23/1981,3.206,0.733,0.179
1/24/1981,2.851,0.733,0.177
1/25/1981,2.92,0.733,0.171
1/26/1981,2.093,0.709,0.188
1/27/1981,1.995,0.709,0.177
1/28/1981,4.136,0.941,0.171
1/29/1981,4.168,0.941,0.171
1/30/1981,3.51,0.692,0.169
1/31/1981,3.178,0.692,0.184
2/1/1981,3.957,0.761,0.184
2/2/1981,4.145,0.838,0.194
2/3/1981,5.326,0.84,0.222
2/4/1981,5.117,0.838,0.232
2/5/1981,4.198,0.784,0.232
2/6/1981,3.845,0.708,0.214
2/7/1981,3.771,0.708,0.196
2/8/1981,3.735,0.779,0.173
2/9/1981,3.529,0.834,0.167
2/10/1981,3.552,0.871,0.169
2/11/1981,3.613,0.882,0.18
2/12/1981,3.489,0.882,0.175
2/13/1981,3.415,0.867,0.173
2/14/1981,3.358,0.855,0.175
2/15/1981,3.309,0.835,0.177
2/16/1981,3.018,0.835,0.177
2/17/1981,3.208,0.867,0.18
2/18/1981,2.802,0.975,0.25
2/19/1981,4.082,1.206,0.706
2/20/1981,4.337,1.206,1.043
2/21/1981,4.465,1.206,0.553
2/22/1981,5.298,1.228,0.524
2/23/1981,5.231,1.587,0.462
2/24/1981,5.881,1.596,0.357
2/25/1981,6.398,1.587,0.504
2/26/1981,6.157,1.456,0.51
2/27/1981,5.793,1.375,0.399
2/28/1981,4.745,1.375,0.373
3/1/1981,5.533,1.375,0.349
3/2/1981,5.134,1.275,0.288
3/3/1981,4.731,1.172,0.266
3/4/1981,5.336,1.172,0.272
3/5/1981,5.316,1.172,0.236
3/6/1981,5.137,1.118,0.234
3/7/1981,4.83,1.101,0.24
3/8/1981,4.146,1.095,0.232
3/9/1981,5.06,1.081,0.242
3/10/1981,4.838,1.071,0.238
3/11/1981,3.727,0.893,0.236
3/12/1981,3.441,0.893,0.24
3/13/1981,3.447,0.899,0.208
3/14/1981,3.645,0.899,0.2
3/15/1981,3.855,0.867,0.206
3/16/1981,3.559,0.849,0.214
3/17/1981,2.915,0.797,0.208
3/18/1981,3.294,0.751,0.202
3/19/1981,2.687,0.751,0.2
3/20/1981,2.201,0.752,0.186
3/21/1981,3.701,0.752,0.196
3/22/1981,3.328,0.744,0.19
3/23/1981,2.996,0.674,0.196
3/24/1981,3.467,0.674,0.196
3/25/1981,3.081,0.698,0.194
3/26/1981,2.62,0.735,0.175
3/27/1981,3.466,0.833,0.175
3/28/1981,3.646,0.833,0.179
3/29/1981,3.154,0.738,0.177
3/30/1981,3.704,0.737,0.23
3/31/1981,4.88,0.737,1.025
4/1/1981,4.758,0.737,1.192
4/2/1981,3.57,0.25,0.657
4/3/1981,4.308,0.329,0.413
4/4/1981,4.25,0.388,0.385
4/5/1981,4.018,0.741,0.361
4/6/1981,4.607,0.869,0.307
